와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,스타일,양조,숙성
샤또 쿠앙 뤼통 화이트,Chateau Couhins Lurton White,https://www.wine21.com/13_search/wine_view.html?Idx=164869&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) 100%,Pessac-Léognan AOC(AOP),,8~10 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
샤또 라바드,Chateau Labarde,https://www.wine21.com/13_search/wine_view.html?Idx=164870&lq=LIST,"샤또 도작  Chateau Dauzac, Grand Cru Classe,5th Cru",프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),카베르네 소비뇽 (Cabernet Sauvignon) 60% / 메를로 (Merlot) 40%,Haut-Médoc AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,4/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
도멘 나탈리 앤 쥘 페브르,Domaine Nathalie & Gilles FEVRE,https://www.wine21.com/13_search/wine_view.html?Idx=164873&lq=LIST,도멘 나탈리 앤 쥘 페브르  Domaine Nathalie & Gilles Fevre,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,,12~13 %,10~12 ℃,"굴, 조개, 구운 생선, 파슬리를 곁들인 햄요리 등과 잘 어울린다.",*Taste Vintage Best in Class*2017 빈티지: Vinous 89점,,1/5,4/5,3/5,1/5,미네랄,햄,Burgundy Chablis,,
마쏘 안티코 프리미티보,Masso Antico Primitivo,https://www.wine21.com/13_search/wine_view.html?Idx=164874&lq=LIST,쉥크 이탈리안 와이너리즈  Schenk Italian Wineries,이탈리아(Italy) / 깜빠니아(Campania),프리미티보 (Primitivo) 100%,Salento IGT(IGP),14~15 %,18~20 ℃,"그릴 미트, 스튜, 숙성된 치즈 등과 잘 어울린다.",*2015 빈티지: LUCA Maroni 99점,,2/5,2/5,5/5,3/5,"배, 오크",치즈,,,
씨에피 폰테루톨리,Siepi Fonterutoli,https://www.wine21.com/13_search/wine_view.html?Idx=164875&lq=LIST,마쩨이  Mazzei,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese) 50% / 메를로 (Merlot) 50%,,14~15 %,15~17 ℃,"블루 치즈, 짙은 소스 요리, 향이 진한 요리 등과 잘 어울린다.","*2010 빈티지: James Suckling 94점, Vinous 94점, Robert Parker 95점*사시까이야, 오르넬라이야, 씨에피 블라인드 테이스팅 결과 - 씨에피 30표 중 18 득표",,1/5,4/5,5/5,4/5,초콜릿,치즈,Central Italy Red,,
"압바디아 올리바, 템프라니요","Abadia de la Oliva, Tempranillo",https://www.wine21.com/13_search/wine_view.html?Idx=164876&lq=LIST,압바디아 드 라 올리바  Abadia de la Oliva,스페인(Spain) / 나바라(Navarra),템프라니요 (Tempranillo) 100%,,13~14 %,15~17 ℃,"전채 요리, 육류, 구운 가금류 등과 잘 어울린다.",*2014 CWWSC 은메달,,1/5,3/5,4/5,3/5,"체리, 무화과",가금류,Spanish Red,,
"압바디아 올리바, 가르나차 블랑카","Abadia de la Oliva, Garnacha Blanca",https://www.wine21.com/13_search/wine_view.html?Idx=164877&lq=LIST,압바디아 드 라 올리바  Abadia de la Oliva,스페인(Spain) / 나바라(Navarra),그르나슈 블랑 (Grenache Blanc) 100%,,12~13 %,10~12 ℃,"샐러드, 에피타이져, 해산물 스프, 흰 살 생선 등과 잘 어울린다.",*2014 CWWSC 은메달 수상*순례자의 와인,,1/5,3/5,2/5,1/5,감귤,"해산물, 샐러드",,,
"피에데몬테, 크리안자 쿠페이지","Piedemonte, Crianza Coupage",https://www.wine21.com/13_search/wine_view.html?Idx=164878&lq=LIST,보데가 피에데몬테  Bodegas Piedemonte,스페인(Spain) / 나바라(Navarra),메를로 (Merlot) / 템프라니요 (Tempranillo) / 카베르네 소비뇽 (Cabernet Sauvignon),,,15~17 ℃,붉은 육류 및 각종 치즈 등과 잘 어울린다.,*2016 대한민국주류대상 구대륙부문 대상 수상*2015 Decanter World Wine Awards Bronz Medal*2015 Mondus Vini Gold Medal,,1/5,3/5,3/5,3/5,"블랙베리, 토스트",치즈,Spanish Red,발효(28도)와 침용(15일)을 별도의 탱크에서 진행,225리터 오크통에서 12개월간 숙성
"피에데몬테, 마쓰 데 퀸세","Piedemonte, +d Quince",https://www.wine21.com/13_search/wine_view.html?Idx=164879&lq=LIST,보데가 피에데몬테  Bodegas Piedemonte,스페인(Spain) / 나바라(Navarra),메를로 (Merlot) 100%,,15~16 %,15~17 ℃,붉은 육류 및 숙성 치즈 등과 잘 어울린다.,"*2016 대한민국 주류대상, 구대륙 부문 대상 수상*2015 Decanter World Wine Awards*15년 이상 수령의 포도나무*15개월 이상 숙성, 15초 이상의 여운",,1/5,3/5,3/5,3/5,"잼, 후추, 오크",치즈,Spanish Merlot,,
팔라레아,Palarea,https://www.wine21.com/13_search/wine_view.html?Idx=164880&lq=LIST,비노스 팔라레아  Vinos Palarea,스페인(Spain),카베르네 소비뇽 (Cabernet Sauvignon) 34% / 메를로 (Merlot) 33% / 시라/쉬라즈 (Syrah/Shiraz) 33%,,14~15 %,15~17 ℃,각종 육류에 어울린다.,*2018 대한민국 주류대상 구대륙 부문 대상 수상*2017 Asian Trophy Gold Medal*2015 Concours Mondial Brussel Gold Medal,,1/5,3/5,4/5,4/5,무화과,,Spanish Red,,
보데가 마타로메라,Bodegas Matarromera,https://www.wine21.com/13_search/wine_view.html?Idx=164881&lq=LIST,비노스 팔라레아  Vinos Palarea,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo) 100%,,14~15 %,15~17 ℃,모든 육류와 잘 어울리지만 특히 양고기와 잘 어울린다.,*Wine & Spirits 선정 Winery of the year*이승엽 은퇴기념 와인,,1/5,3/5,4/5,3/5,"체리, 미네랄, 가죽",양고기,Spanish Red,,
"까잘 가르시아, 스위트","Casal Garcia, Sweet",https://www.wine21.com/13_search/wine_view.html?Idx=164882&lq=LIST,아벨레다  Aveleda,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"트라자두라 (Trajadura, Treixadura) / 로우레이루 (Loureiro) / 아린토 (Arinto) / 아잘 블랑코 (Azal Blanco)",,8~9 %,6~8 ℃,"생선, 디저트, 스위트 식품 등과 잘 어울린다.","*2020 대한민국 주류대상, 구대륙 스위트부문 대상 수상*2020 와인앤치킨 페어링, 양념, 후라이드부문 대상 수상*2020 와인앤씨푸드 페어링, 붉은 살 생선부문 대상 수상",,4/5,1/5,2/5,1/5,"감귤, 열대과일, 꽃, 꿀",디저트,Northern Portugal White,,
퀸타 드 초카팔라 틴토,Quinta de Chocapalha Tinto,https://www.wine21.com/13_search/wine_view.html?Idx=164883&lq=LIST,퀸타 드 초카팔라  Quinta de Chocapalha,포르투갈(Portugal) / 리스본(Lisboa),투리가 나시오날 (Touriga Nacional) 45% / 틴타 로리즈 (Tinta Roriz) 20% / 투리가 프란카 (Touriga Franca) 15% / 카스텔라옹 (Castelao) 10% / 알리칸테 부쉐 (Alicante Bouschet) 10%,,13~14 %,18~20 ℃,"그릴 미트, 스튜, 숙성된 치즈 등과 잘 어울린다.","*2020 대한민국 주류대상, 구대륙 레드부분 대상 수상",,1/5,4/5,5/5,5/5,"꽃, 후추",치즈,,,
"호세 마리아 폰세카, 페리퀴타 오리지널","Jose Maria da Fonseca, Periquita Original",https://www.wine21.com/13_search/wine_view.html?Idx=164884&lq=LIST,호세 마리아 폰세카  Jose Maria da Fonseca,포르투갈(Portugal) / 세투발 페닌슐라(Setubal Peninsula),카스텔라옹 (Castelao) 45% / 트린카데이라 (Trincadeira) 40% / 아라고네즈 (Aragonez) 15%,,13~14 %,12~14 ℃,"각종 육류요리와 가금류, 치즈 등과 잘 어울린다.",*World Best 50 Winemaking Center*2019 대한민국 주류대상 구대륙 레드와인부문 대상 수상*2023 대한민국 주류대상 '레드와인 구대륙 부문 대상',,1/5,4/5,3/5,3/5,"딸기, 바닐라, 오크","육류요리, 가금류, 치즈",,,
"호세 마리아 폰세카, 페리퀴타 리제르바","Jose Maria da Fonseca, Periquita Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=164885&lq=LIST,호세 마리아 폰세카  Jose Maria da Fonseca,포르투갈(Portugal) / 세투발 페닌슐라(Setubal Peninsula),카스텔라옹 (Castelao) 54% / 투리가 나시오날 (Touriga Nacional) 28% / 투리가 프란체사  (Touriga Francesa) 18%,,13~14 %,12~14 ℃,"각종 육류 요리, 치즈, 갈비찜, 보쌈, 족발, 순대, 등과 잘 어울린다.",* 2023 대한민국 주류대상 레드와인 구대륙 부문 대상 수상* 2020 대한민국 주류대상 구대륙 레드 부문 대상 수상* World Best 50 Winemaking Center,,1/5,3/5,4/5,3/5,"블랙베리, 블루베리, 바닐라, 민트, 오크","소고기, 스테이크, 육류요리, 바비큐, 돼지고기, 양고기, 건육, 오리고기, 닭고기, 보쌈, 갈비찜, 족발, 순대, 치즈, 에뿌아쓰, 로크포르, 블루치즈, 스모크",Southern Portugal Red,,스테인리스 탱크에 7일 발효 후 프렌치아메리칸 오크통에서 8개월 숙성
"호세 마리아 폰세카, 페리퀴타 슈페리어","Jose Maria da Fonseca, Periquita Superior",https://www.wine21.com/13_search/wine_view.html?Idx=164886&lq=LIST,호세 마리아 폰세카  Jose Maria da Fonseca,포르투갈(Portugal) / 세투발 페닌슐라(Setubal Peninsula),카스텔라옹 (Castelao) 94% / 카베르네 소비뇽 (Cabernet Sauvignon) 4% / 틴토 프란시스카 (Tinto Francisca) 2%,,14~15 %,14~16 ℃,각종 육류 요리 및 치즈 등과 잘 어울린다.,*World Best 50 Winemaking Center,,1/5,3/5,3/5,3/5,"배, 민트, 오크",치즈,Southern Portugal Red,,
엘 드 라 루비에르 레드,L de La Louviere Red,https://www.wine21.com/13_search/wine_view.html?Idx=164889&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),메를로 (Merlot) 60% / 카베르네 소비뇽 (Cabernet Sauvignon) 40%,Pessac-Léognan AOC(AOP),,17~19 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
엘 드 라 루비에르 화이트,L de La Louviere White,https://www.wine21.com/13_search/wine_view.html?Idx=164890&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뻬싹-레오냥(Pessac-Leognan),소비뇽 블랑 (Sauvignon Blanc) 100%,Pessac-Léognan AOC(AOP),,10~12 ℃,"바비큐, 꼬치구이, 양념치킨, 생선구이, 튀김, 샐러드, 중국요리, 아시아요리, 순대, 떡볶이 등과 잘 어울린다.",,,1/5,4/5,2/5,1/5,,"생선구이, 중국요리, 아시아요리, 튀김, 샐러드",,,
1865 셀렉티드 블렌드,1865 Selected Blend,https://www.wine21.com/13_search/wine_view.html?Idx=164891&lq=LIST,산 페드로  San Pedro,칠레(Chile) / 코킴보(Coquimbo),시라/쉬라즈 (Syrah/Shiraz) 72% / 말벡 (Malbec) 17% / 쁘띠 베르도 (Petit Verdot) 10% / 카르메네르 (Carmenere) 1%,,14~15 %,16~18 ℃,"붉은 육류, 치즈, 훈제 염장 음식, 밀가루 음식 등과 잘 어울린다.",*2019 대한민국 주류대상 신대륙 레드와인 대상,금양인터내셔날,1/5,3/5,5/5,5/5,,치즈,,,
샤또 드 바브 블랑쉬 뀌베 헨리 IV,Chateau de Barbe Blanche Cuvee Henri IV,https://www.wine21.com/13_search/wine_view.html?Idx=164892&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뤼싹 생 떼밀리옹(Lussac-Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),Lussac-Saint-Émilion AOC(AOP),,17~19 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 프리에르 라랑드,Chateau Prieure Lalande,https://www.wine21.com/13_search/wine_view.html?Idx=164893&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뤼싹 생 떼밀리옹(Lussac-Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),Lussac-Saint-Émilion AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,3/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
샤또 뚜르 드 세귀르,Chateau Tour de Segur,https://www.wine21.com/13_search/wine_view.html?Idx=164894&lq=LIST,앙드레 뤼통  Andre Lurton,프랑스(France) / 보르도(Bordeaux) / 뤼싹 생 떼밀리옹(Lussac-Saint-Emilion),메를로 (Merlot) / 카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),Lussac-Saint-Émilion AOC(AOP),,16~18 ℃,"스테이크, 훈제오리, 양고기, 바비큐, 소시지, 까망베르, 브리 치즈, 하몽, 살라미, 파스타 와 잘 어울린다.",,,1/5,3/5,4/5,3/5,,"스테이크, 양고기, 훈제오리, 파스타",,,
"알베르 비쇼, 마콩 빌라쥐","Albert Bichot, Macon Villages",https://www.wine21.com/13_search/wine_view.html?Idx=164895&lq=LIST,알베르 비쇼  Albert Bichot,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁(Macon),샤르도네 (Chardonnay) 100%,Mâcon AOC(AOP),12~13 %,10~12 ℃,"흰 육류, 흰 살 생선, 해산물 등과 잘 어울린다.",* Wine Enthusiast 86점,금양인터내셔날,1/5,4/5,3/5,1/5,"감귤, 미네랄",해산물,Burgundy Macônnais White,,
"알베르 비쇼, 부르고뉴 파스투그랭","Albert Biichot, Bourgogne Passetoutgrain",https://www.wine21.com/13_search/wine_view.html?Idx=164896&lq=LIST,알베르 비쇼  Albert Bichot,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 50% / 가메이 (Gamay) 50%,Bourgogne Passe-Tout-Grains AOC(AOP),12~13 %,13~15 ℃,"붉은 육류, 흰 육류, 부드러운 치즈, 피자, 파스타류 등과 잘 어울린다.",* 2017 Best Red Winemaker of the year ' by International Wine Challenge,금양인터내셔날,1/5,3/5,3/5,3/5,"딸기, 배, 타바코",치즈,Burgundy Red,,
"그래블리 포드, 카베르네 소비뇽","Gravelly Ford, Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=164897&lq=LIST,그래블리 포드  Gravelly Ford,미국(U.S.A) / 캘리포니아(California),카베르네 소비뇽 (Cabernet Sauvignon) 100%,California AVA,13~14 %,13~15 ℃,"스테이크, 로스트비프, 양갈비, 바비큐, 불고기, 양념갈비, 족발, 한국음식과 잘 어울린다.",*2013 빈티지: Wine Enthusiast 86점,금양인터내셔날,1/5,4/5,3/5,3/5,"체리, 바닐라, 오크","바비큐, 양갈비",Californian Cabernet Sauvignon,,
"그래블리 포드, 피노 누아","Gravelly Ford, Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=164898&lq=LIST,그래블리 포드  Gravelly Ford,미국(U.S.A) / 캘리포니아(California),피노 누아 (Pinot Noir) 100%,California AVA,,15~17 ℃,"로스트비프, 오리고기, 닭고기, 연어, 참치, 버섯, 다양한 치즈, 파스타와 잘 어울린다.",,금양인터내셔날,1/5,3/5,3/5,3/5,"체리, 자두, 바닐라, 오크","파스타, 버섯, 자두, 치즈",Californian Pinot Noir,,
"그래블리 포드, 샤르도네","Gravelly Ford, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164899&lq=LIST,그래블리 포드  Gravelly Ford,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) 100%,California AVA,,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,금양인터내셔날,2/5,3/5,2/5,1/5,레몬,"바비큐, 수육, 탕수육, 치즈",Californian Chardonnay,,
"다렌버그, 더 갈보 가라지 카베르네 블랜드","d'Arenberg, The Galvo Garage Cabernet Blend",https://www.wine21.com/13_search/wine_view.html?Idx=164901&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon) / 쁘띠 베르도 (Petit Verdot) / 메를로 (Merlot),,14~15 %,15~17 ℃,"붉은 육류, 피자, 파스타, 치즈, 훈제요리 등과 잘 어울린다.",,금양인터내셔날,1/5,4/5,4/5,4/5,"블랙커런트, 레드커런트, 꽃, 삼나무, 버섯","소고기, 햄, 양고기, 건육, 닭고기, 치즈",,"발효가 진행되는 동안 2/3 지점에서 발로 밟아주는 과정을 거치며, 이후 와인은 바스켓 프레스를 통해 압착","새로운 프랑스 오크와 오래된 오크 혼합통으로 옮겨져 발효. 배럴 발효는 리즈에서 숙성되며, 최종 블렌딩 전까지는 리프팅이나 여과 과정을 거치지 않음"
"다렌버그, 럭키 리자드 샤르도네","d'Arenberg, The Lucky Lizard Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=164902&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),샤르도네 (Chardonnay) 100%,,12~13 %,8~10 ℃,"해산물, 흰살 생선, 샐러드, 파스타 등과 잘 어울린다.",*2015 빈티지: James Halliday 91점,,1/5,3/5,3/5,1/5,"배, 파인애플","해산물, 파스타, 샐러드",,,
"다렌버그, 머니 스파이더 루산느","d'Arenberg, The Money Spider Roussanne",https://www.wine21.com/13_search/wine_view.html?Idx=164903&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),루산느 (Roussanne) 100%,,12~13 %,10~12 ℃,"흰 육류, 익힌 해산물, 흰 살 생선, 샐러드 등과 잘 어울린다.",,,1/5,3/5,3/5,1/5,감귤,"해산물, 샐러드",,,
"다렌버그, 스텀프 점프 카베르네 소비뇽 메를로","d'Arenberg, The Stump Jump Cabernet Sauvignon Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=164904&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),카베르네 소비뇽 (Cabernet Sauvignon) 50% / 메를로 (Merlot) 50%,,14~15 %,16~18 ℃,"붉은육류, 스테이크, 로스트비프, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,,1/5,4/5,4/5,4/5,,치즈,,,
"다렌버그, 스텀프 점프 소비뇽 블랑","d'Arenberg, The Stump Jump Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=164905&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),소비뇽 블랑 (Sauvignon Blanc) 100%,,13~14 %,10~12 ℃,"훈제 연어, 농어, 광어, 생선구이, 조개구이, 새우, 해산물, 샐러드, 야채, 동남아요리, 아시아요리 등과 잘 어울린다.",*2013 빈티지: 2015 Wine & Spirits Top 100 Value Wines,금양인터내셔날,1/5,4/5,2/5,1/5,"배, 사과, 시트러스, 열대과일, 꽃, 미네랄","닭고기, 생선회, 한식, 샐러드",,"와인에 사용된 포도는 부드럽게 압착되고, 온도 조절 발효",바스켓 프레스를 통해 병입
"다렌버그, 아이언 스톤 프레싱 GSM","d'Arenberg, The IronStone Pressings GSM",https://www.wine21.com/13_search/wine_view.html?Idx=164906&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),그르나슈 (Grenache) 72% / 시라/쉬라즈 (Syrah/Shiraz) 25% / 무르베드르 (Mourvedre) 3%,,14~15 %,15~17 ℃,"붉은 육류, 익힌 채소, 단단한 치즈, 훈제 음식, 염장 음식, 밀가루 음식 등과 잘 어울린다.",*2014 빈티지: James Suckling 94점,,1/5,3/5,5/5,4/5,"미네랄, 오크, 흙","채소, 치즈",,,
"다렌버그, 와일드 픽시 쉬라즈","d'Arenberg, Wild Pixie Shiraz",https://www.wine21.com/13_search/wine_view.html?Idx=164907&lq=LIST,다렌버그  d'Arenberg,호주(Australia) / 사우스 오스트레일리아(South Australia) / 맥라렌 베일(McLaren Vale),시라/쉬라즈 (Syrah/Shiraz) 93% / 루산느 (Roussanne) 7%,,14~15 %,15~17 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,금양인터내셔날,1/5,4/5,5/5,4/5,흙,양갈비,,,
