와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,기타정보,당도,산도,바디,타닌,아로마,음식매칭,추천음식,수입사,스타일,등급
"아르노 바이오, 뫼르소 1er '부쉐레'","Arnaud Baillot, Meursault 1er Cru 'Boucheres'",https://www.wine21.com/13_search/wine_view.html?Idx=178751&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"청사과, 시트러스, 흰꽃, 꽃, 미네랄, 바닐라, 허브, 헤이즐넛, 아몬드","초밥, 생선회, 연어, 참치, 해산물, 생굴, 새우, 오일파스타, 아시아요리, 샐러드",,롯데칠성음료,Burgundy Côte de Beaune White,"Meursault 1er Cru AOC(AOP), 'Les Bouchères'"
"아르노 바이오, 뫼르소 1er 레 플러르","Arnaud Baillot, Meursault 1er Cru Les Plures",https://www.wine21.com/13_search/wine_view.html?Idx=178752&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 서양배, 시트러스, 흰꽃, 꽃, 미네랄, 바닐라, 헤이즐넛, 아몬드","닭고기, 치킨, 초밥, 생선회, 연어, 해산물, 오일파스타, 중국요리, 샐러드",,롯데칠성음료,Burgundy Côte de Beaune White,"Meursault 1er Cru AOC(AOP), 'Les Plures'"
"아르노 바이오, 뫼르소 '수 라 벨'","Arnaud Baillot, Meursault ""Sous La Velle“  BLANC",https://www.wine21.com/13_search/wine_view.html?Idx=178753&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 사과, 시트러스, 흰꽃, 꽃, 미네랄, 허브, 캐모마일, 헤이즐넛, 꿀","생선구이, 초밥, 생선회, 연어, 참치, 해산물, 샐러드, 크로아상",,롯데칠성음료,Burgundy Côte de Beaune White,Meursault AOC(AOP)
"아르노 바이오, 사사뉴 몽라쉐 1er 모르조","Arnaud Baillot, Chassagne-Montrachet 1er Morgeot Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178754&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"살구, 사과, 시트러스, 꽃, 미네랄, 바닐라, 허브","닭고기, 가금류, 치킨, 생선구이, 해산물, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Chassagne-Montrachet 1er Cru AOC(AOP), 'Morgeot'"
"아르노 바이오, 꼬르통 샤를마뉴 그랑크루","Arnaud Baillot, Corton Charlemagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178755&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,4/5,1/5,"시트러스, 감귤, 바닐라, 헤이즐넛, 아몬드, 삼나무, 꿀","생선구이, 생선회, 연어, 참치, 장어구이, 장어, 해산물, 조개구이, 파스타, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Corton-Charlemagne Grand Cru AOC(AOP)
"아르노 바이오, 부르고뉴 오 꼬뜨 드 본 레 루아즈 루즈","Arnaud Baillot, Bourgogne Hautes Cotes de Beaune Les Rouards",https://www.wine21.com/13_search/wine_view.html?Idx=178756&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"체리, 딸기, 라스베리, 꽃, 바닐라","소고기, 스테이크, 바비큐, 건육, 훈제오리, 불고기, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"아르노 바이오, 뽀마르","Arnaud Baillot, Pommard Village",https://www.wine21.com/13_search/wine_view.html?Idx=178757&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 바닐라, 아니스, 동물","스튜, 소고기, 스테이크, 육류요리, 바비큐, 양갈비, 훈제오리, 불고기, 족발, 순대, 라자냐, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"아르노 바이오, 제브리 샹베르땡","Arnaud Baillot, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=178758&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블랙체리, 라스베리, 육두구, 감초, 삼나무, 버섯","소고기, 스테이크, 육류요리, 훈제오리, 보쌈, 불고기, 양념갈비, 족발, 파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,Gevrey-Chambertin AOC(AOP)
"아르노 바이오, 본 로마네","Arnaud Baillot, Vosne-Romanee",https://www.wine21.com/13_search/wine_view.html?Idx=178759&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블랙체리, 체리, 라스베리, 육두구, 삼나무, 오크, 가죽","소고기, 스테이크, 육류요리, 건육, 훈제오리, 오리로스, 꽁피, 불고기, 족발, 한식, 순대, 파스타, 서양요리, 피자, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,Vosne-Romanée AOC(AOP)
"아르노 바이오, 본 로마네 레 보몽","Arnaud Baillot, Vosne Romanee Les Beaumonts",https://www.wine21.com/13_search/wine_view.html?Idx=178760&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 본-로마네(Vosne-Romanee),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"체리, 라스베리, 육두구, 바닐라, 삼나무, 가죽","그릴요리, 소고기, 스테이크, 육류요리, 양갈비, 건육, 푸아그라, 오리고기, 훈제오리, 불고기, 족발, 순대, 라자냐, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,"Vosne-Romanée 1er Cru AOC(AOP), 'Les Beaux Monts'"
"아르노 바이오, 제브리 샹베르땡 1er 꼼보 모앙","Arnaud Baillot, Gevrey-Chambertin 1er Cru Combe Au Moine",https://www.wine21.com/13_search/wine_view.html?Idx=178761&lq=LIST,아르노 바이오  Arnaud Baillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 라스베리, 육두구, 감초, 오크, 흙","소고기, 육류요리, 붉은육류, 바비큐, 양고기, 건육, 푸아그라, 훈제오리, 오리로스, 보쌈, 불고기, 양념갈비, 족발, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Nuits Red,"Gevrey-Chambertin 1er Cru AOC(AOP), 'Combe au Moine'"
"미쉘 라파르쥐, 부르고뉴 알리고떼","Michel Lafarge, Bourgogne Aligote",https://www.wine21.com/13_search/wine_view.html?Idx=178762&lq=LIST,미쉘 라파르쥐  Michel Lafarge,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote),,,13~14 %,8~10 ℃,,1/5,4/5,2/5,1/5,"서양배, 시트러스, 감귤, 흰꽃, 꽃, 미네랄, 허브, 아몬드","후라이드, 닭고기, 치킨, 생선구이, 생선찜, 흰살생선, 해산물, 파스타, 서양요리, 중국요리, 치즈",,롯데칠성음료,Burgundy Red,
"미쉘 라파르쥐, 뫼르소 뱅당쥐 셀렉션 블랑","Michel Lafarge, Meursault Vendanges Selectionnees Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178763&lq=LIST,미쉘 라파르쥐  Michel Lafarge,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"서양배, 시트러스, 감귤, 흰꽃, 꽃, 미네랄, 헤이즐넛, 아몬드","초밥, 생선회, 연어, 장어, 해산물, 오일파스타, 중국요리, 버섯, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,
"미쉘 라파르쥐, 본 프리미에 크루 레 아이그로트 블랑","Michel Lafarge, Beaune 1er Cru Les Aigrots Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178764&lq=LIST,미쉘 라파르쥐  Michel Lafarge,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 본(Beaune),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,3/5,1/5,"서양배, 시트러스, 감귤, 흰꽃, 꽃, 미네랄, 헤이즐넛","초밥, 생선회, 연어, 참치, 해산물, 조개구이, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Beaune 1er Cru AOC(AOP), 'Les Aigrots'"
"미셀 라파르쥐, 부르고뉴 파스투그랑","Michel Lafarge, Bourgogne Passetougrain",https://www.wine21.com/13_search/wine_view.html?Idx=178765&lq=LIST,미쉘 라파르쥐  Michel Lafarge,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 꽃","건육, 닭고기, 오리로스, 치킨, 편육, 수육, 파스타, 서양요리, 중국요리, 치즈",,롯데칠성음료,Burgundy Red,
"미셀 라파르쥐, 볼네 뱅당쥐 셀렉션","Michel Lafarge, Volnay Vendanges Selectionnees",https://www.wine21.com/13_search/wine_view.html?Idx=178766&lq=LIST,미쉘 라파르쥐  Michel Lafarge,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,2/5,"블랙체리, 체리, 블루베리, 라스베리, 꽃, 아니스","소고기, 스테이크, 바비큐, 건육, 훈제오리, 찜닭, 불고기, 족발, 순대, 파스타, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,Volnay AOC(AOP)
"도멘 파벨로, 페르낭 베레줄레스 1er 일 데 베레줄레스","Domaine Pavelot, Pernand Vergelesses 1er cru Ile des Vergelesses",https://www.wine21.com/13_search/wine_view.html?Idx=178767&lq=LIST,도멘 파벨로  Domain Pavelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,1/5,"레드커런트, 체리, 딸기, 라스베리, 꽃, 미네랄, 바닐라, 아니스","소고기, 육류요리, 바비큐, 돼지고기, 양고기, 건육, 훈제오리, 찜닭, 치즈, 고다, 브리",,롯데칠성음료,Burgundy Côte de Beaune Red,"Pernand-Vergelesses 1er Cru AOC(AOP), 'Ile des Vergelesses'"
"도멘 파벨로, 페르낭 베레줄레스 1er 레 베레줄레스","Domaine Pavelot, Pernand Vergelesses 1er cru Les Vergelesses",https://www.wine21.com/13_search/wine_view.html?Idx=178768&lq=LIST,도멘 파벨로  Domain Pavelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,1/5,"블랙체리, 블루베리, 라스베리, 붉은꽃, 꽃, 미네랄, 바닐라, 아니스","소고기, 스테이크, 소시지, 돼지고기, 훈제오리, 불고기, 갈비찜, 파스타, 서양요리",,롯데칠성음료,Burgundy Côte de Beaune Red,"Pernand-Vergelesses 1er Cru AOC(AOP), 'Vergelesses'"
"도멘 파벨로, 꼬르통 샤를마뉴 그랑크루","Domaine Pavelot, Corton Charlemagne Grand Cru",https://www.wine21.com/13_search/wine_view.html?Idx=178769&lq=LIST,도멘 파벨로  Domain Pavelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir),,,13~14 %,10~12 ℃,,1/5,0/5,2/5,1/5,"서양배, 시트러스, 레몬, 흰꽃, 꽃, 미네랄, 허브, 오크","훈제오리, 닭고기, 오리로스, 해산물, 만두, 오일파스타, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Corton-Charlemagne Grand Cru AOC(AOP)
"도멘 파벨로, 페르낭 베레줄레스 1er 수 프레띠에 블랑","Domaine Pavelot, Pernand Vergelesses 1er cru Sous Frétille",https://www.wine21.com/13_search/wine_view.html?Idx=178770&lq=LIST,도멘 파벨로  Domain Pavelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"복숭아, 배, 서양배, 흰꽃, 꽃, 미네랄, 헤이즐넛, 아몬드","닭고기, 가금류, 치킨, 생선구이, 생선조림, 생선찜, 해산물, 새우, 만두, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Pernand-Vergelesses 1er Cru AOC(AOP), 'Sous Frétille'"
"도멘 파벨로, 페르낭 베레줄레스","Domaine Pavelot, Pernand Vergelesses",https://www.wine21.com/13_search/wine_view.html?Idx=178771&lq=LIST,도멘 파벨로  Domain Pavelot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뻬르낭-베르즐레스(Pernand-Vergelesses),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"백도, 복숭아, 서양배, 흰꽃, 꽃, 미네랄, 아니스, 허브","오리로스, 생선구이, 생선회, 해산물, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Pernand-Vergelesses AOC(AOP)
"도멘 데 쁘띠 샹 랑, 부르고뉴 블랑","Domaine Des Petits Champs Lins, Bourgogne Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178772&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,3/5,2/5,1/5,"서양배, 시트러스, 감귤, 흰꽃, 꽃, 미네랄, 바닐라","닭고기, 치킨, 생선구이, 초밥, 생선회, 해산물, 오일파스타, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy White,Bourgogne AOC(AOP)
"도멘 데 쁘띠 샹 랑, 사샤뉴 몽라쉐 블랑","Domaine Des Petits Champs Lins, Chassagne-Montrachet Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178773&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"시트러스, 레몬, 흰꽃, 꽃, 미네랄, 생강, 브리오슈, 헤이즐넛, 아몬드","초밥, 생선회, 해산물, 문어숙회, 생굴, 새우, 오일파스타, 중국요리, 아시아요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Chassagne-Montrachet AOC(AOP)
도멘 쁘띠 샹 랑 생 또방 1er 앙 레미,Domaine Petits Champs Lins Saint-Aubin 1er Cru En Remilly,https://www.wine21.com/13_search/wine_view.html?Idx=178774&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 생-오방(Saint-Aubin),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,2/5,1/5,"시트러스, 감귤, 열대과일, 리치, 멜론, 흰꽃, 꽃, 미네랄, 헤이즐넛","닭고기, 스시, 생선회, 연어, 해산물, 오일파스타, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Saint-Aubin 1er Cru AOC(AOP), 'En Remilly'"
"도멘 데 쁘띠 샹 랑, 뫼르소 블랑","Domaine Des Petits Champs Lins, Meursault Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=178775&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,3/5,1/5,"살구, 백도, 복숭아, 흰꽃, 꽃, 미네랄, 헤이즐넛","치킨, 생선구이, 해산물, 문어숙회, 새우, 만두, 오일파스타, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Meursault AOC(AOP)
"도멘 데 쁘띠 샹 랑, 뫼르소 레 틸레","Domaine Des Petits Champs Lins, Meursault Les Tillet",https://www.wine21.com/13_search/wine_view.html?Idx=178776&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,3/5,1/5,"백도, 복숭아, 시트러스, 흰꽃, 꽃, 미네랄, 헤이즐넛, 오크","스시, 생선회, 연어, 참치, 장어, 해산물, 조개구이, 새우, 파스타, 오일파스타, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,Meursault AOC(AOP)
"도멘 데 쁘띠 샹 랑, 뫼르소 1er 레 페리에르","Domaine Des Petits Champs Lins, Meursault 1er Cru Les Perrières",https://www.wine21.com/13_search/wine_view.html?Idx=178777&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),,,13~14 %,10~12 ℃,,1/5,4/5,3/5,1/5,"시트러스, 감귤, 흰꽃, 꽃, 미네랄, 바닐라, 아몬드","초밥, 생선회, 연어, 참치, 해산물, 파스타, 중국요리, 샐러드, 치즈",,롯데칠성음료,Burgundy Côte de Beaune White,"Meursault 1er Cru AOC(AOP), 'Perrières'"
"도멘 데 쁘띠 샹 랑, 부르고뉴 오 꼬뜨 드 본","Domaine Des Petits Champs Lins, Bourgogne Hautes-Cotes de Beaune",https://www.wine21.com/13_search/wine_view.html?Idx=178778&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),,,13~14 %,10~12 ℃,,1/5,3/5,2/5,2/5,"체리, 딸기, 라스베리, 붉은꽃, 꽃, 바닐라, 아니스","훈제오리, 닭고기, 오리로스, 치킨, 파스타, 오일파스타, 서양요리, 아시아요리, 견과류, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,Côte de Beaune AOC(AOP)
"도멘 데 쁘띠 샹 랑, 본","Domaine Des Petits Champs Lins, Beaune",https://www.wine21.com/13_search/wine_view.html?Idx=178779&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,3/5,"딸기, 라스베리, 붉은꽃, 꽃, 바닐라, 아니스, 오크","송아지, 로스트비프, 소고기, 육류요리, 바비큐, 칠면조, 훈제오리, 찜닭, 닭고기, 가금류, 족발, 순대, 중국요리, 치즈",,롯데칠성음료,Burgundy Côte de Beaune Red,
"도멘 데 쁘띠 샹 랑, 볼네 1er 레 픽처","Domaine Des Petits Champs Lins, Volnay 1er Cru Les Pitures",https://www.wine21.com/13_search/wine_view.html?Idx=178780&lq=LIST,도멘 데 쁘띠 샹랑  Domaine Des Petits Champs Lins,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir),,,13~14 %,14~16 ℃,,1/5,3/5,3/5,1/5,"레드커런트, 체리, 라스베리, 붉은꽃, 꽃, 바닐라, 아니스, 오크","소고기, 육류요리, 바비큐, 양고기, 훈제오리, 치즈, 고다, 브리",,롯데칠성음료,Burgundy Côte de Beaune Red,Volnay 1er Cru AOC(AOP)
