와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,양조,숙성,알코올,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,기타정보,스타일,등급
"퀸타 다스 아르카스, 아르카 노바 알바리뇨","Quinta das Arcas, Arca Nova Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175781&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,* Sommeliers Choice Awards 2023 - Gold Medal,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 에스푸만테 브루토 레제르바","Quinta das Arcas, Espumante Bruto Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175782&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto),Bio.,,12~13 %,4~6 ℃,,,1/5,3/5,2/5,1/5,,,,,Vinho Verde DOC(DOP)
"프리모르디오 와인즈, 딜레마 로우레이루 캔","Primordio Wines, Dilemma Loureiro Can",https://www.wine21.com/13_search/wine_view.html?Idx=175783&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다스 아르카스, 알바리뇨 레제르바","Quinta das Arcas, Alvarinho Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175784&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,* Concours Mondial de Bruxelles 2023 - Silver Medal,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 비냐웅 에스콜냐","Quinta das Arcas, Vinhao Escolha",https://www.wine21.com/13_search/wine_view.html?Idx=175785&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),비냐웅 (Vinhao),,,12~13 %,14~16 ℃,,,1/5,3/5,3/5,3/5,,,,Northern Portugal Red,Vinho Verde DOC(DOP)
"퀸타 다스 아르카스, 잡","Quinta das Arcas, Zap",https://www.wine21.com/13_search/wine_view.html?Idx=175786&lq=LIST,퀸타 다스 아르카스  Quinta das Arcas [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"로우레이루 (Loureiro) / 아린토 (Arinto) / 트라자두라 (Trajadura, Treixadura)",,,9~10 %,6~8 ℃,,,1/5,3/5,1/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프리모르디오 와인즈, 딜레마 로제 캔","Primordio Wines, Dilemma Rose Can",https://www.wine21.com/13_search/wine_view.html?Idx=175787&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),에스파데이루 (Espadeiro),,,11~12 %,8~10 ℃,,,1/5,3/5,1/5,2/5,,,,,
"프리모르디오 와인즈, 딜레마 로우레이루","Primordio Wines, Dilemma Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175788&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"제라드 라쎄유, 샴페인 브륏 리저브","Gerard Lassaigne, Champagne Brut Reserve",https://www.wine21.com/13_search/wine_view.html?Idx=175789&lq=LIST,제라드 라쎄유 샴페인 하우스  Gerard Lassaigne Champagne House,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),9월 손수확.,3년동안 숙성.,12~13 %,10~12 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,,"건육, 초밥, 생선회, 해산물, 중국요리, 동남아요리, 아시아요리, 식전주, 샐러드, 과일",,,
"프리모르디오 와인즈, 퀸타 두 몬티뇨 알바리뇨","Primordio Wines, Quinta do Montinho Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175790&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"제라드 라쎄유, 샴페인 브륏 블랑 드 블랑","Gerard Lassaigne, Champagne Brut Blanc de blancs",https://www.wine21.com/13_search/wine_view.html?Idx=175791&lq=LIST,제라드 라쎄유 샴페인 하우스  Gerard Lassaigne Champagne House,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),9월 손수확.,3년동안 숙성.,12~13 %,10~12 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"복숭아, 레몬, 아카시아, 꽃, 허브, 페이스트리, 아몬드, 꿀","건육, 초밥, 생선회, 해산물, 씨푸드, 식전주, 샐러드, 치즈, 콩테",,,
"프리모르디오 와인즈, 퀸타 두 몬티뇨 로우레이루","Primordio Wines, Quinta do Montinho Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175792&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프리모르디오 와인즈, 퀸타 두 몬티뇨 알바리뇨 리제르바","Primordio Wines, Quinta do Montinho Alvarinho Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175793&lq=LIST,프리모르디오 와인즈  Primordio Wines [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"제라드 라쎄유, 샴페인 브륏 블랑 드 블랑 뀌베 시그니쳐","Gerard Lassaigne, Champagne Brut Blanc de blancs Cuvee Signature",https://www.wine21.com/13_search/wine_view.html?Idx=175794&lq=LIST,제라드 라쎄유 샴페인 하우스  Gerard Lassaigne Champagne House,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay),9월 손수확.,3년동안 숙성.,12~13 %,10~12 ℃,,호메오와인갤러리,1/5,4/5,3/5,1/5,"복숭아, 시트러스, 감귤, 레몬, 흰꽃, 꽃, 아몬드, 꿀","건육, 초밥, 생선회, 해산물, 씨푸드, 식전주, 샐러드, 과일, 테트드무안, 콩테",,,
"코마르탱, 포마르 프리미에 크뤼 끌로 데 부쉐로트","Caumartin, Pommard 1er Cru Le Clos ded Boucherottes",https://www.wine21.com/13_search/wine_view.html?Idx=175795&lq=LIST,도멘 코스트 코마르탱  Domaine Coste Caumartin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),"Inox vator, 온도 조절이 되는 콘크리트 탱크 발효 12C 사전 발효, 천연효모 사용 알코올 발효, 젖산발효.","12개월간 오크통 숙성, 병입 전 6개월간 탱크 숙성.",,14~16 ℃,,호메오와인갤러리,1/5,4/5,3/5,2/5,"체리, 딸기, 제비꽃, 붉은꽃, 꽃","로스트비프, 까르파치오, 건육, 훈제오리, 찜닭, 불고기, 족발, 오일파스타, 크림파스타, 견과류, 치즈, 파르미지아노, 그라노파다노, 콩테",,,
"프로밤, 꼬또 데 마모엘라즈","Provam, Coto de Mamoelas",https://www.wine21.com/13_search/wine_view.html?Idx=175796&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프로밤, 모코 다 폰테","Provam, Moco da Ponte",https://www.wine21.com/13_search/wine_view.html?Idx=175797&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura) / 로우레이루 (Loureiro)",,,11~12 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프로밤, 피","Provam, P",https://www.wine21.com/13_search/wine_view.html?Idx=175798&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura) / 로우레이루 (Loureiro)",,,11~12 %,,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다마레스, 클라우스트럼","Quinta D'Amares, Claustrum",https://www.wine21.com/13_search/wine_view.html?Idx=175799&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,
"프로밤, 페쏘아 다 비냐 썸머","Provam, Pessoa da Vinha Summer",https://www.wine21.com/13_search/wine_view.html?Idx=175800&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura)",,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다마레스, 스파클링","Quinta D'Amares, Sparkling",https://www.wine21.com/13_search/wine_view.html?Idx=175801&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),아린토 (Arinto),,,12~13 %,4~6 ℃,,,0/5,0/5,0/5,0/5,,,,,
"퀸타 다마레스, 펫낫","Quinta D'Amares, Pet Nat",https://www.wine21.com/13_search/wine_view.html?Idx=175802&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,4~6 ℃,,,1/5,3/5,2/5,1/5,,,,,
"퀸타 다마레스, 로제","Quinta D'Amares, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175803&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),에스파데이루 (Espadeiro) / 비냐웅 (Vinhao),,,12~13 %,10~12 ℃,,,1/5,3/5,2/5,2/5,,,,,
"프로밤, 페쏘아 다 비냐","Provam, Pessoa da Vinha",https://www.wine21.com/13_search/wine_view.html?Idx=175804&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura) / 로우레이루 (Loureiro)",,,11~12 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다마레스, 비네사 알바리뇨","Quinta D'Amares, Vinesa Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175805&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다마레스, 두나스 화이트","Quinta D'Amares, Dunas White",https://www.wine21.com/13_search/wine_view.html?Idx=175806&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro) / 아린토 (Arinto) / 페르나오 피레스 (Fernao Pires),,,10~11 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"프로밤, 포르탈 두 피다우구","Provam, Portal do Fidalgo",https://www.wine21.com/13_search/wine_view.html?Idx=175807&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다마레스, 두나스 로제","Quinta D'Amares, Dunas Rose",https://www.wine21.com/13_search/wine_view.html?Idx=175808&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),에스파데이루 (Espadeiro) / 비냐웅 (Vinhao) / 투리가 나시오날 (Touriga Nacional),,,10~11 %,10~12 ℃,,,1/5,3/5,3/5,2/5,,,,,
"퀸타 다마레스, 알바리뇨","Quinta D'Amares, Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175809&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,12~13 %,6~8 ℃,,,1/5,3/5,3/5,1/5,,,* Sakura - Diamond and best paring sushi* Vinho Verde commission contest - Best vinho verde,Portuguese Vinho Verde White,
"퀸타 다마레스, 로우레이루","Quinta D'Amares, Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175810&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,11~12 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,* Berliner Wine Trophy - Gold,,
"프로밤, 바란다 두 콘데","Provam, Varanda do Conde",https://www.wine21.com/13_search/wine_view.html?Idx=175811&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura)",,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 다마레스, 로우레이루 알바리뇨","Quinta D'Amares, Loureiro Alvarinho",https://www.wine21.com/13_search/wine_view.html?Idx=175812&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro) / 알바리뇨 (Albarino(Alvarinho)),,,11~12 %,6~8 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"퀸타 다마레스, 로우레이루 아린토 수페리오르","Quinta D'Amares, Loureiro Arinto Superior",https://www.wine21.com/13_search/wine_view.html?Idx=175813&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro) / 아린토 (Arinto),,,11~12 %,6~8 ℃,,,1/5,3/5,3/5,1/5,,,* Berliner Wine Trophy - Gold,Portuguese Vinho Verde White,
"퀸타 다마레스, 비네사 로우레이루","Quinta D'Amares, Vinesa Loureiro",https://www.wine21.com/13_search/wine_view.html?Idx=175814&lq=LIST,퀸타 다마레스  Quinta D'Amares [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),로우레이루 (Loureiro),,,12~13 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"프로밤, 비냐 안티가","Provam, Vinha Antiga",https://www.wine21.com/13_search/wine_view.html?Idx=175815&lq=LIST,프로밤  Provam [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),알바리뇨 (Albarino(Alvarinho)),,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"퀸타 데 산타 크리스티나, 리제르바","Quinta de Santa Cristina, Reserva",https://www.wine21.com/13_search/wine_view.html?Idx=175816&lq=LIST,퀸타 데 산타 크리스티나  Quinta de Santa Cristina [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,13~14 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
"구아포스 와인 프로젝트, 안투스 스파클링 쿠알리다지","Guapos Wine Project, Anthus Sparkling Qualidade",https://www.wine21.com/13_search/wine_view.html?Idx=175817&lq=LIST,구아포스 와인 프로젝트  Guapos Wine Project,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,12~13 %,6~8 ℃,,,1/5,3/5,2/5,1/5,,,,,
"아데가 구이마라예스, 볼하스 도스 로보스","Adega Guimaraes, Bolhas dos Lobos",https://www.wine21.com/13_search/wine_view.html?Idx=175818&lq=LIST,아데가 코페라티바 데 구이마라예스  Adega Cooperativa de Guimaraes [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,11~12 %,8~10 ℃,,,0/5,0/5,0/5,0/5,,,,,
"카사 다 토제이라, 알바리뇨 그란데 이스콜랴","Casa de Tojeira, Alvarinho Trajadura Grande Escolha",https://www.wine21.com/13_search/wine_view.html?Idx=175819&lq=LIST,카사 다 토제이라  Casa da Tojeira,포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),"알바리뇨 (Albarino(Alvarinho)) / 트라자두라 (Trajadura, Treixadura)",,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,Portuguese Vinho Verde White,Vinho Verde DOC(DOP)
"비노 볼타, 메소드 안세스트랄 슈냉 블랑","Vino Volta, Methode Ancestrale Chenin Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175820&lq=LIST,비노 볼타  Vino Volta,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 스완 디스트릭(Swan District),슈냉 블랑 (Chenin Blanc),"Hand picked, whole bunch pressed, natural ferment, methode ancestrale.",,12~13 %,4~6 ℃,,,1/5,3/5,2/5,1/5,"자몽, 레몬, 미네랄","생선구이, 흰살생선, 장어구이, 해산물, 문어숙회, 조개구이, 새우, 튀김, 샐러드, 견과류, 브리, 카망베르, 리코타, 크림치즈, 모짜렐라",,,
"비노 볼타, 메소드 안세스트랄 그르나슈","Vino Volta, Methode Ancestrale Grenache",https://www.wine21.com/13_search/wine_view.html?Idx=175821&lq=LIST,비노 볼타  Vino Volta,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 스완 디스트릭(Swan District),그르나슈 (Grenache),"Hand picked, whole bunch pressed, natural ferment, methode ancestrale.",,13~14 %,4~6 ℃,,,1/5,3/5,2/5,2/5,"구즈베리, 크랜베리, 라스베리, 빌베리, 자두","튀김, 식전주, 샐러드, 자두, 건포도, 견과류, 브리, 까망베르, 리코타, 크림치즈, 모짜렐라",,,
"비노 볼타, 낫띵 롱 위드 올드 스쿨 슈냉 블랑","Vino Volta, Nothing Wrong With Old Skool' Chenin Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=175822&lq=LIST,비노 볼타  Vino Volta,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 스완 디스트릭(Swan District),슈냉 블랑 (Chenin Blanc),,,12~13 %,8~10 ℃,,,1/5,3/5,2/5,1/5,"복숭아, 사과, 라임, 레몬, 말린허브, 토스트, 아몬드, 꿀","농어, 장어구이, 새우, 부각, 물냉면, 오일파스타, 가지튀김, 새우튀김, 오징어튀김, 복숭아, 견과류, 리코타, 모짜렐라",,,
"앙드레 구아쇼, 뉘 생 조르쥬","André Goichot, Nuits Saint Georges",https://www.wine21.com/13_search/wine_view.html?Idx=175823&lq=LIST,메종 앙드레 구아쇼  Maison André Goichot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir),줄기를 완전히 제거 후 스테인리스 스틸 탱크에서 리 접촉 하에 알코올 발효 및 젖산 발효.,오크 배럴에서 12개월간 숙성(35% 뉴오크).,13~14 %,14~16 ℃,,레뱅,1/5,3/5,3/5,2/5,"블랙커런트, 체리, 딸기, 장미, 감초, 가죽, 버섯, 송로버섯","그릴요리, 로스트비프, 소고기, 육류요리, 양갈비, 양고기, 훈제오리, 찜닭, 불고기, 양념갈비, 족발, 크림파스타, 리조토, 서양요리, 버섯, 트러플, 송이버섯, 치즈, 파르미지아노, 그라노파다노, 테트드무안, 콩테",,Burgundy Côte de Nuits Red,Nuits-Saint-Georges AOC(AOP)
"퀸타 두 타마리즈, 가라페이라","Quinta do Tamariz, Garrafeira",https://www.wine21.com/13_search/wine_view.html?Idx=175824&lq=LIST,퀸타 두 타마리즈  Quinta do Tamariz [B2B],포르투갈(Portugal) / 비뉴 베르데(Vinho Verde),,,,13~14 %,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,Portuguese Vinho Verde White,
"앙드레 구아쇼, 모레 생 드니","André Goichot, Morey Saint Denis",https://www.wine21.com/13_search/wine_view.html?Idx=175825&lq=LIST,메종 앙드레 구아쇼  Maison André Goichot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 모레이-생-드니(Morey-St-Denis),,오크 배럴에서 알코올 발효 및 젖산 발효.,12개월간 오크 배럴에서 숙성(1/3 뉴오크),14~15 %,14~16 ℃,,레뱅,1/5,3/5,3/5,2/5,"블랙커런트, 체리, 빌베리, 제비꽃, 감초, 가죽, 송로버섯, 나무이끼","그릴요리, 송아지, 로스트비프, 스테이크, 베이컨, 양갈비, 양고기, 건육, 불고기, 갈비찜, 족발, 동그랑땡, 오일파스타, 리조토, 샐러드, 견과류, 파르미지아노, 그라노파다노, 테트드무안, 콩테",,Burgundy Côte de Nuits Red,Morey-Saint-Denis AOC(AOP)
"앙드레 구아쇼, 뫼르소 프리미에 크뤼 라 피에스 수 르 부아","André Goichot, Meursault 1er Cru La Pièce sous le bois",https://www.wine21.com/13_search/wine_view.html?Idx=175826&lq=LIST,메종 앙드레 구아쇼  Maison André Goichot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay),오크 배럴에서 알코올 및 젖산 발효(30% 뉴오크).,12~14개월 배럴 숙성.,13~14 %,10~12 ℃,,레뱅,1/5,3/5,3/5,1/5,"라임, 열대과일, 바나나, 흰꽃, 꽃, 미네랄, 부싯돌, 헤이즐넛, 아몬드, 버터","바비큐, 돼지고기, 건육, 오리고기, 닭고기, 생선구이, 생선찜, 장어, 해산물, 조개구이, 만두, 수육, 오일파스타, 리조또, 중국요리, 탕수육, 중국음식, 아시아요리, 튀김, 버섯, 샐러드, 견과류, 치즈, 고다, 브리",,Burgundy Côte de Beaune White,"Meursault 1er Cru AOC(AOP), 'La Pièce sous le Bois'"
