와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,양조,숙성,음용온도,추천음식,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,기타정보,등급
"도멘 데 크레, 마콩 빌라쥐","Domaine Des Crets, Macon Village",https://www.wine21.com/13_search/wine_view.html?Idx=171336&lq=LIST,도멘 데 크레  Domaine Des Crets,프랑스(France) / 부르고뉴(Bourgogne) / 마꼬네(Maconnais) / 마꽁-빌라쥬(Macon-Villages),샤르도네 (Chardonnay) 100%,Burgundy Macônnais White,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
"도멘 아르노 쇼팽, 샹볼 뮈지니","Domaine A.Chopin, Chambolle-Musigny",https://www.wine21.com/13_search/wine_view.html?Idx=171337&lq=LIST,도멘 아르노 쇼팽  Domaine A.Choupin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 샹볼 뮈지니(Chambolle Musigny),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,,,14~16 ℃,,,1/5,3/5,3/5,2/5,,,,,
"도멘 아르노 쇼팽, 뉘 쌩 조르쥬 프뤼미에 크뤼 '오 뮈르제'","Domaine A.Chopin, Nuits Saint Georges 1Er Cru 'Aux Murgers'",https://www.wine21.com/13_search/wine_view.html?Idx=171338&lq=LIST,도멘 아르노 쇼팽  Domaine A.Choupin,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 뉘-생-조르쥬(Nuits-St-Georges),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,,,14~16 ℃,,,1/5,3/5,3/5,2/5,,,,,
"도멘 그랑 로쉬, 생브리","Domaine Grand Roche, St Brie",https://www.wine21.com/13_search/wine_view.html?Idx=171339&lq=LIST,도멘 그랑 로쉐  Domaine Grand Roche,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis) / 생-브리(Saint-Bris),소비뇽 블랑 (Sauvignon Blanc),Burgundy White,,,8~10 ℃,,,1/5,4/5,2/5,1/5,"시트러스, 꽃, 미네랄, 허브","광어, 생선회, 해산물, 식전주, 샐러드, 모짜렐라",13~14 %,,
"도멘 그랑 로쉬, 샤블리","Domaine Grand Roche, Chablis",https://www.wine21.com/13_search/wine_view.html?Idx=171340&lq=LIST,도멘 그랑 로쉐  Domaine Grand Roche,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,Burgundy Chablis,,,8~10 ℃,,,1/5,4/5,1/5,1/5,"석류, 시트러스, 레몬, 꽃, 미네랄, 부싯돌, 허브","초밥, 생선회, 사시미, 생굴, 아시아요리, 샐러드",13~14 %,* 도멘 그랑 로쉬는 프랑스 내에서도 가성비 있는 샤블리를 생산하는 와인으로 유명한 도멘. 1987년 부터 패밀리 운영에 의해 이루어지고 있는 도멘 그랑 로쉬 샤블리는 피노누아와 샤도네이 품종으로 우수한 퀄리티 와인을 생산하여  매해 프랑스 와인 평단에 GOOD VALUE 와인으로 소개되는 도멘임..,
"도멘 그랑 로쉬, 샤블리 프뤼미에 크뤼","Domaine Grand Roche, Chablis Premier Cru",https://www.wine21.com/13_search/wine_view.html?Idx=171341&lq=LIST,도멘 그랑 로쉐  Domaine Grand Roche,프랑스(France) / 부르고뉴(Bourgogne) / 샤블리(Chablis),샤르도네 (Chardonnay) 100%,Burgundy Chablis,,,8~10 ℃,,,1/5,4/5,2/5,1/5,"서양배, 시트러스, 레몬, 꽃, 미네랄, 부싯돌","초밥, 생선회, 해산물, 어묵, 오일파스타, 아시아요리",13~14 %,"* 농약과 제초제를 쓰지 않으면서도 퀄리티 높은 샤블리를 생산하고 있어 프랑스 와인 잡지에도 가성비 좋은 샤블리로 자주 소개되고 있는 도멘 그랑 로쉬입니다. 샤블리가 지녀야 할 미네랄리티, 산도, 발란스를 지니고 있어 해산물등과 탁월하게 어울립니다. 도멘 그랑 로쉬 프뤼미에 크뤼는 3년 후에 가장 시음 적기라는 평을 받고 있습니다.",
"도멘 그랑 로쉬, 부르고뉴 꼬뜨 도쎄르","Domaine Grand Roche, Bourgogne Cote d'Auxerre",https://www.wine21.com/13_search/wine_view.html?Idx=171342&lq=LIST,도멘 그랑 로쉐  Domaine Grand Roche,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,,스테인레스에 숙성.,8~10 ℃,,,1/5,3/5,2/5,1/5,"서양배, 시트러스, 열대과일, 망고, 흰꽃, 미네랄, 허브","초밥, 생선회, 해산물, 오일파스타, 튀김, 식전주, 샐러드, 모짜렐라",12~13 %,,
"도멘 장 마리 브즈레, 부르고뉴 화이트","Domaine Jean Marie Bouzeuau, Bourgogne White",https://www.wine21.com/13_search/wine_view.html?Idx=171343&lq=LIST,도멘 장 마리 브즈레  Domaine Jean Marie Bouzereau,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
"도멘 장 마리 브즈레, 뫼르소","Domaine Jean Marie Bouzereau, Meursault",https://www.wine21.com/13_search/wine_view.html?Idx=171344&lq=LIST,도멘 장 마리 브즈레  Domaine Jean Marie Bouzereau,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,,
"도멘 장 마리 브즈레, 뫼르소 샤름","Domaine Jean Marie Bouzeuau, Meursault Chames",https://www.wine21.com/13_search/wine_view.html?Idx=171345&lq=LIST,도멘 장 마리 브즈레  Domaine Jean Marie Bouzereau,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,,
"도멘 마샹 그리오, 쥬베뤼 샹베르땅 프뤼미에 크뤼","Domaine Marchant Grillot, Gevrey Chambertin Premier Cru",https://www.wine21.com/13_search/wine_view.html?Idx=171346&lq=LIST,도멘 마샹 그리오  Domaine Marchant Grillot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,,,14~16 ℃,,,1/5,3/5,3/5,2/5,,,,,
"뱅상 바슐래, 부르고뉴 루즈","Vincent Bachelet, Bourgogne Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=171347&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,Burgundy Red,,,14~16 ℃,,,1/5,3/5,3/5,2/5,"블랙베리, 체리, 딸기, 라스베리, 제비꽃, 꽃, 흙","까르파치오, 붉은육류, 건육, 훈제오리, 불고기, 육포, 파스타, 리조또, 중국요리, 샐러드, 치즈, 테트드무안, 콩테",13~14 %,,
"뱅상 바슐래, 부르고뉴 블랑","Vincent Bachelet, Bourgogne Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171348&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,,,8~10 ℃,,,1/5,3/5,1/5,1/5,,,,,
"뱅상 바슐래, 퓔리니 몽라쉐","Vincent Bachelet, Puligny Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=171349&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 쀨리니-몽라셰(Puligny-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,8~10 ℃,,,1/5,3/5,3/5,1/5,,,,,
"뱅상 바슐래, 뫼르소","Vincent Bachelet, Meursault",https://www.wine21.com/13_search/wine_view.html?Idx=171350&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뫼르소(Meursault),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,8~10 ℃,,,1/5,3/5,3/5,1/5,"꽃, 미네랄, 아몬드","생선회, 해산물, 오일파스타, 중국요리, 아시아요리, 샐러드, 견과류, 치즈",13~14 %,,
"뱅상 바슐래, 샤샤뉴 몽라쉐","Vincent Bachelet, Chassagne Montrachet",https://www.wine21.com/13_search/wine_view.html?Idx=171351&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 샤샤뉴-몽라셰(Chassagne-Montrachet),샤르도네 (Chardonnay) 100%,Burgundy Côte de Beaune White,,,8~10 ℃,,,1/5,3/5,2/5,1/5,,,,,
"인트린직, 소비뇽 블랑","Intrinsic, Sauvignon Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171352&lq=LIST,인트린직 와인  Intrinsic Wine Co.,미국(U.S.A) / 워싱턴(Washington State) / 콜롬비아 밸리(Columbia Valley),소비뇽 블랑 (Sauvignon Blanc) 100%,Washington State Sauvignon Blanc,"5% 튤립형 시멘트와 암포라에서 양조, 95% 스테인리스 스틸 양조",,6~8 ℃,"그릭 샐러드, 스시 등과 잘 어울린다.",동원와인플러스,1/5,4/5,1/5,1/5,"복숭아, 자몽, 꽃, 미네랄, 유칼립투스","스시, 샐러드",13~14 %,,
"도멘 꼬바르, 꼬뜨 드 본 루즈 레 몽 바투아 모노폴","Domaine Cauvard, Cote De Beaune Les Monts Battois Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=171353&lq=LIST,도멘 꼬바르  Domaine Cauvard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Red,3-5일은 저온 침용을 포함하여 15일간 주스 추출,20%는 뉴 오크 80%는 올드 배럴을 사용하여 12개월간 숙성,14~16 ℃,"구운 돼지고기, 연성 치즈, 구운 닭등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,,치즈,13~14 %,,
"도멘 꼬바르, 꼬뜨 드 본 블랑 레 몽 바투아 모노폴","Domaine Cauvard, Cote De Beaune Les Monts Battois Monopole",https://www.wine21.com/13_search/wine_view.html?Idx=171354&lq=LIST,도멘 꼬바르  Domaine Cauvard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune),샤르도네 (Chardonnay) 100%,Burgundy White,,,8~10 ℃,"전채 음식, 해산물, 가금류, 크림 소스 베이스 음식과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,1/5,미네랄,"가금류, 해산물",13~14 %,,
"도멘 꼬바르, 뽀마흐 레 누아죵","Domaine Cauvard, Pommard Les Noizons",https://www.wine21.com/13_search/wine_view.html?Idx=171355&lq=LIST,도멘 꼬바르  Domaine Cauvard,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,,,14~16 ℃,"안심 스테이크, 양고기, 닭고기 스튜와 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,"자두, 가죽","양고기, 닭고기",13~14 %,,
"도멘 꼬바르, 알록스 꼬르통 비에이 비뉴","Domaine Cauvard, Aloxe Corton Vieilles vignes",https://www.wine21.com/13_search/wine_view.html?Idx=171356&lq=LIST,도멘 꼬바르  Domaine Cauvard,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 알록스-꼬르통(Aloxe-Corton),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,,4개월 동안 앙금 접촉 및 숙성,14~16 ℃,"구운 돼지고기, 구운 닭고기, 연성 치즈와 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,,"닭고기, 치즈",13~14 %,,
"도멘 부르소, 꼬뜨 드 뉘 빌라지 '레 허트레트'","Domaine Boursot, Cote de Nuits Villages 'Les Retraits'",https://www.wine21.com/13_search/wine_view.html?Idx=171357&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 꼬뜨 드 뉘-빌라쥬(Côte de Nuits-Villages),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,콩블랑세의 “Les Retaraits”에서 평균 40년 수령의 나무 포도 수확,"25% 뉴 오크, 25% 암포라, 50% 올드 배럴에서 14개월 숙성",14~16 ℃,"안심 스테이크, 양고기, 에푸아스 치즈",비케이 트레이딩,1/5,3/5,3/5,2/5,미네랄,"양고기, 치즈",13~14 %,,
"도멘 부르소, 볼네 레 그헝 쁘와소","Domaine Boursot, Volnay Les Grands Poisots",https://www.wine21.com/13_search/wine_view.html?Idx=171358&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 볼네(Volnay),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,볼네의 가장 큰 밭인 Les Grands Poisots”의  평균 55년 수령의 나무에서 포도 수확,"30% 뉴 오크, 70% 올드 배럴에서 14개월 숙성",14~16 ℃,"쏘시쏭, 떼린, 빠떼등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,,,13~14 %,,
"도멘 부르소, 부르고뉴 샤르도네","Domaine Boursot, Bourgogne Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=171359&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne),샤르도네 (Chardonnay) 100%,Burgundy White,평균 45년 수령의 나무에서 포도 수확,"20% 뉴 오크, 80% 350L 올드 배럴에서 총 10개월간 숙성",8~10 ℃,"버터에 구운 흰살 생선, 로스트 치킨, 구운 펜넬 등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,1/5,시트러스,치킨,12~13 %,,
"도멘 부르소, 부르고뉴 피노 누아","Domaine Boursot, Bourgogne Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171360&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) 100%,Burgundy Red,40년 수령의 나무에서 포도 수확,스테인리스 탱크에서 10개월간 숙성,14~16 ℃,"안심 스테이크, 양고기와 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,,양고기,13~14 %,,
"도멘 부르소, 사비니 레 본","Domaine Boursot, Savigny-Les-Beaune",https://www.wine21.com/13_search/wine_view.html?Idx=171361&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 사비니-레-본(Savigny-les-Beaune),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Beaune Red,"사비니 레 본의 “Les Ratausses”에서 평균 35년 수령의 나무 포도 수확, 양조 과정중 아황산염 무첨가",100% 올드 배럴에서 14개월간 숙성,14~16 ℃,"안심 스테이크, 콩 퓨레등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,,,13~14 %,,
"도멘 부르소, 쥬브레 샹베르땅","Domaine Boursot, Gevrey Chambertin",https://www.wine21.com/13_search/wine_view.html?Idx=171362&lq=LIST,도멘 부르소  Domaine Boursot,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 뉘(Côte de Nuits) / 쥬브레-샹베르땅(Gevrey-Chambertin),피노 누아 (Pinot Noir) 100%,Burgundy Côte de Nuits Red,평균 50년 수령의 나무에서 포도 수확,35% 뉴 오크 65% 올드 배럴에서 14개월간 숙성,14~16 ℃,"안심 스테이크, 양고기, 연성 치즈 등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,2/5,후추,"양고기, 치즈",13~14 %,,
"도미니오, NO.1(누메로 우노)","Dominio de La Vega, NO.1 Cava Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171363&lq=LIST,도미니오 데 라 베가  Dominio de La Vega,스페인(Spain) / 발렌시아(Valencia),마카베오 (Macabeo) 100%,Spanish Cava,25년 수령의 나무에서 유기농 재배,60일간 매일 저어주고 1월에 띠라주 진행,6~8 ℃,,비케이 트레이딩,1/5,3/5,1/5,1/5,크림,,12~13 %,,
"롤랑 갈라레타, 끌로 당 페랑","Rolland Galarreta, Clos D'en Ferran",https://www.wine21.com/13_search/wine_view.html?Idx=171364&lq=LIST,롤랑 갈라레타  Rolland Galarreta,스페인(Spain) / 까탈루냐(Cataluna) / 프리오랏(Priorat),까리네나 (Carinena) / 가르나차  (Garnacha),Spanish Red,DOQ 내 가장 오래된 토양을 가진 당 페랑(D'en Ferran)밭 포도 수확,"뉴 프렌치 오크에서 15개월 숙성, 최소 12개월 이상 병 숙성",16~18 ℃,"그릴드 스테이크, 버터에 볶은 야채, 대파 통구이 등과 잘 어울린다.",비케이 트레이딩,1/5,3/5,3/5,4/5,"체리, 자두, 미네랄, 감초","스테이크, 야채",14~15 %,,
"보니타, 로제","Bonita, Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171365&lq=LIST,뮤비드로  Murviedro,스페인(Spain),모스카텔 (Moscatel) / 보발 (Bobal),,샤르마 방식,,8~10 ℃,"생선요리, 쌀 요리와 잘 어울린다.",비케이 트레이딩,3/5,2/5,2/5,2/5,"체리, 크랜베리, 열대과일, 리치, 패션프루트","베이컨, 항정살, 건육, 닭강정, 후라이드, 치킨, 생선조림, 동그랑땡, 떡볶이, 물냉면, 햄버거, 피자, 중국요리, 아시아요리, 식전주, 샐러드, 치즈, 리코타, 모짜렐라, 아이스크림, 브루스케타, 티라미슈",7~8 %,,
"보니타, 모스카토","Bonita, Moscato",https://www.wine21.com/13_search/wine_view.html?Idx=171366&lq=LIST,뮤비드로  Murviedro,스페인(Spain),모스까뗄 데 알레한드리아 (Moscatel del Alejandria),,샤르마 방식,,8~10 ℃,"생선요리, 쌀 요리  등과 잘 어울린다.",비케이 트레이딩,3/5,3/5,1/5,1/5,,,7~8 %,,
"보니타, 모히토","Bonita, Mojito",https://www.wine21.com/13_search/wine_view.html?Idx=171367&lq=LIST,뮤비드로  Murviedro,스페인(Spain),기타 품종 (Other Grapes),,발효 후 모히토 향 첨가,,8~10 ℃,식전주 또는 디저트 와인 가벼운 과일류  등과 잘 어울린다.,비케이 트레이딩,3/5,3/5,2/5,1/5,크림,"식전주, 과일, 디저트",7~8 %,,
"파니에, 벨루아 브륏 블랑","Pannier, Velours Brut Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171368&lq=LIST,파니에  Pannier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),French Champagne,,최소 5년 이상 숙성,6~8 ℃,태국음식과 잘 어울린다.,비케이 트레이딩,1/5,4/5,2/5,1/5,"꽃, 헤이즐넛, 크림",,12~13 %,*Bettane + Desseauve – 15/20*IWSC – Silver*Gilbert Gaillard – 93pts,
"파니에, 빈티지 브륏","Pannier, Vintage Brut",https://www.wine21.com/13_search/wine_view.html?Idx=171369&lq=LIST,파니에  Pannier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),French Champagne,,최소 5년 이상 숙성,6~8 ℃,"식전주, 생선구이나 가볍게 양념된 가금류 등과 잘 어울린다.",비케이 트레이딩,1/5,4/5,2/5,1/5,"시트러스, 미네랄","가금류, 생선구이, 식전주",12~13 %,*Bettane + Desseauve – 15/20*Gault & Millau – 15.5/20,
"파니에, 빈티지 블랑 드 누아","Pannier, Vintage Blanc de Noir",https://www.wine21.com/13_search/wine_view.html?Idx=171370&lq=LIST,파니에  Pannier,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 피노 뮈니에 (Pinot Meunier),French Champagne,30%이상의 리저브 와인 블랜딩,최소 5년 이상 숙성,8~10 ℃,"푸아그라, 가금류와 모렐버섯, 치즈 플레터 등과 잘 어울린다.",비케이 트레이딩,1/5,4/5,2/5,1/5,"시트러스, 감초","버섯, 치즈",12~13 %,*Gilbert Gaillard – 90pts*Gault & Millau – 15.5/20*Champagne & Sparkling world championship - Gold,
"파니에, 빈티지 블랑 드 블랑","Pannier, Vintage Blanc de Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=171371&lq=LIST,파니에  Pannier,프랑스(France) / 샹빠뉴(Champagne),샤르도네 (Chardonnay) 100%,French Champagne,,최소 5년 숙성,8~10 ℃,"생선류, 갑각류 요리와 잘 어울린다.",,1/5,3/5,2/5,1/5,"백도, 레몬, 버터",,12~13 %,*Bettane + Desseauve – 14.5/20,
"파니에, 클래식 브륏 로제","Pannier, Classic Brut Rose",https://www.wine21.com/13_search/wine_view.html?Idx=171372&lq=LIST,파니에  Pannier,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),French Champagne,30%이상의 리저브 와인 블랜딩,최소 3년 이상 숙성,10~12 ℃,"전채 음식, 붉은 과일과 함께 나오는 디저트, 연어 구이 등과 잘 어울린다.",비케이 트레이딩,1/5,4/5,2/5,1/5,체리,"연어, 과일, 디저트",12~13 %,*IWSC – Bronze*Gilbert Gaillard – 89pts,
