포도품종,설명,당도,산도,바디,타닌,아로마,추천 음식
마리아 고메즈Maria Gomes,"마리아 고메즈(Maria Gomez)는 포르투갈 북부 화이트 품종이다. 마리아 고메즈는 바이라다(Bairrada)지역에서 주로 재배된다. 와인은 스파이시하며, 섬세한 열대 과실 풍미를 지니며, 출시 후 2~3년 안에 즐긴다. 포르투갈을 제외하고 남아공에서 재배되고 있는 품종이다. 마리아 고메즈는 페나웅 피레스(Fernão Pires)로도 불린다.",1/5,4/5,3/5,1/5,"열대 과일, 스파이스, 복숭아, 인동속","해산물 파스타, 베이컨, 돼지고기 안심살, 폴트리, 닭이나 칠면조, 송아지 고기"
비칼Bical,"비칼(Bical)은 포르투갈 화이트 품종이다. 이 품종은 포르투갈 바이라다(Bairrada)와 다웅(Dão)지역에서 일반 와인 혹은 스파클링 와인을 만드는 데 쓰인다. 와인은 산미와 알코올이 모두 높으며, 향기롭다. 껍질과 접촉 시간을 늘리면, 꽃과 비누 같은 향을 더 낸다.",2/5,3/5,3/5,1/5,"열대 과일, 스파이스, 모과, 복숭아","하와이안 피자, 아시아 음식, 과일 샐러드, 라타투유, 오믈렛"
말바시아 피나Malvasia Fina,말바시아 피나(Malvasia Fina)는 포르투갈에서 도우로 지역에서 생산되는 화이트 품종으로 보알(Boal)로도 알려져 있다. 그러나 마데이라의 보알(Boal) 스타일의 와인을 만드는 부알(Bual)과는 다른 품종이다. 말바시아 피나는 화이트 포트 와인을 만들 때 사용된다. 도우로(Douro) 뿐만아니라 테호(Tejo)와 다웅(Dao) DOC 지역에서도 일부 재배되는 품종이다.,1/5,3/5,3/5,1/5,"라임, 풋사과, 밀랍, 자스민","해산물, 하몽, 그릴에 구운 연어, 볼로네제 소스, 사퀴트리"
코데가Codega,코데가(Codega)는 루페이로(Rupeiro)와 같은 품종이다. * 루피로(Roupeiro) 참고,1/5,3/5,3/5,1/5,"레몬, 멜론, 복숭아, 오렌지, 월계수","연어, 렌틸 수프, 타르타르 소스와 샐러드, 치즈, 아시아음식"
고바이오Gouveio,고바이오(Gouveio)는 포르투갈의 도우로(Douro)지역에서 생산되는 화이트 품종이다. 지금은 알렌테주(Alentejo) 지역에서도 인기가 높은 품종이다. 신선하고 생동감 있으며 산도가 좋다. 또한 바디감도 있다. 시트러스와 복숭아 그리고 아니스씨앗의 아로마가 있다. 균형감도 좋다. 한때는 도우로 지역에서 베르델호(Verdelho) 품종과 혼돈되기도 했는데 고바이오는 마데이라 왕니을 만드는 베르델호과 아무런 상관관계가 없다.,1/5,3/5,3/5,1/5,"감귤, 라임, 스톤과일, 아니스","구운 고기, 베트남 음식, 푸아그라, 오믈렛, 키슈파이"
라라 네그라Rara Negra,바베아슈카 네아그라(Băbească neagră)와 동의어다. * 바베아슈카 네아그라(Băbească neagră) 참고,2/5,4/5,3/5,3/5,"블랙베리, 체리, 자두, 향신료, 초콜릿, 흙","그릴에 구운 고기, 양고기 스튜, 풍미 강한 치즈"
페드로 히메네스Pedro Ximenez,"페드로 히메네스(Pedro Ximénez)는 스페인 화이트 품종이다. 팔로미노 피노(Palomino Fino)처럼 셰리(Sherry)와인을 만드는 데 쓰인다. 페드로 히메네즈는 단맛을 첨가해 달콤하고 색이 짙은 셰리 와인을 만들 때 많이 사용된다. 전통적으로 페드로 히메네스는 햇빛을 받으며 말라서 쪼글쪼글 해질 때 까지 두었다가 수확된다. 따라서, 페드로 히메네스 와인은 산미가 낮고, 질감이 두터우며, 실키하고 시럽같은 질감을 지닌다. 와인은 건포도와 포도 자체 맛이 강하다. 숙성 중인 와인에 새로 만든 와인이 섞이는 솔레라(Solera)방식으로 만들어지며, 이 때문에 페드로 히메네스 와인은 색이 짙다. 아주 달고 건포도 플레이버와 같이 강한 아로마를 지닌 와인.",5/5,1/5,5/5,1/5,"건포도, 초콜렛, 민감초, 커피","치즈 케이크, 푸딩, 다크 초콜릿, 말린 과일, 바닐라 아이스크림"
말바시아 푼티나타Malvasia Puntinata,말비지아 델 라치오(Malvasia del Lazio)와 동일한 품종이다. * 말바시아 델 라치오(Malvasia del Lazio) 참고,1/5,4/5,3/5,1/5,"꿀, 쟈스민, 허브, 레몬","파스타, 샐러드, 파스타, 해산물, 아시아 누들"
캠벨 얼리Campbell Early,캠벨 얼리 (Campbell Early)는 미국 북온대 지역이 원산지며 약 60여종의 변종이 있다고 알려져 있다. 캠벨얼리는 비티스 라브루스카(Vitis Labrusca)에 속한다. 와인 양조용 유럽종인 비티스 비니페라(Vitis Vinifera)와 달리 이 품종은 신선한 상태로 그 과일 그 자체를 즐기거나 쥬스로 즐기기에 좋은 품종이다. 한국에서도 많이 재배되는 콩코드(Concord) 품종과 동일 계열의 품종이다. 지금은 한국과 일본에서 많이 생산되는 레드 품종이다. 검은 색에 가까운 진한 보랏빛을 띠고 있는 이 품종은 경상도 지역에서 많이 생산되며 그 외 경기도와 충청남도 지역에서 널리 재배되고 있다.,,,,,딸기,
메르세게라Merseguera,"메르세게라(Merseguera)는 스페인 발렌시아 지방 토착 품종으로 유전적으로 토론테스(Torrontés) 품종과 연관성이 높다. 메르세게라는 적당한 시기에 싹이 트며 다소 늦게 완숙된다. 가뭄에 잘 견디며 척박한 토양에서도 잘 자란다. 메르세게라는 가벼운 허브 풍미를 지니며, 쌉쌀한 아몬드 맛도 느낄 수 있다. 때때로 메르세게라는 말바지아 또는 다른 품종과 블렌딩 된다. 블렌딩에서 메르세게라는 무게와 향을 더해주",2/5,3/5,2/5,1/5,"아몬드, 복숭아, 레몬, 장미","빠에야, 파스타, 구운 정어리 요리, 매운 타이 요리, 닭 요리"
람브루스코 디 소르바라Lambrusco di Sorbara,"클라르니카(Klarnica)는 슬로베니아의 화이트 품종이다. 비파자 지역의 토착품종으로 그 역사는 500전으로 거슬러 올라간다. 500년 전, 슬로베니아에는 아름다운 미모로 유명했던 클라라라는 여성이 있었다. 그녀의 미모를 한 번이라도 보고 싶은 구경꾼들로 인해 그녀의 집 앞은 항상 붐볐다. 그녀는 그런 시선들을 피하기 위해 집 주변 울타리에 포도를 심었다. 그리하여 그녀의 사생활을 보호할수 있었다. 사람들은 그 포도",1/5,3/5,3/5,3/5,"바이올렛, 장미, 복숭아, 야생 딸기","돼지고기 요리, 새우 요리, 고르곤 졸라 치즈, 카레 요리"
클라르니카Klarnica,"클라르니카(Klarnica)는 슬로베니아의 화이트 품종이다. 비파자 지역의 토착품종으로 그 역사는 500전으로 거슬러 올라간다. 500년 전, 슬로베니아에는 아름다운 미모로 유명했던 클라라라는 여성이 있었다. 그녀의 미모를 한 번이라도 보고 싶은 구경꾼들로 인해 그녀의 집 앞은 항상 붐볐다. 그녀는 그런 시선들을 피하기 위해 집 주변 울타리에 포도를 심었다. 그리하여 그녀의 사생활을 보호할수 있었다. 사람들은 그 포도",2/5,3/5,2/5,1/5,"꿀, 배, 사과, 복숭아, 시트러스","흰 살 생선, 담치류, 훈제 연어, 오리 고기"
퍼르 세르바도우Fer Servadou,"퍼르 세르바도우(Fer Servadou)는 프랑스 레드 품종이다. 미디엄 바디, 견고한 타닌, 그리고 레드 커런트, 무화과, 약간의 후추의 풍미를 지닌다.",0/5,3/5,3/5,4/5,"레드 커런트, 무화과, 후추","스테이크, 크림 파스타, 족발"
루앙 드 뢰이Loin de l'oeil,"루앙 드 뢰이(Loin de l'oeil)는 프랑스 남서부 지방 토착 백포도 품종이다. 루앙 드 뢰이는 '눈에서 먼 Far from the eyes'라는 의미로 다른 품종에 비해 꼭지와 송이 사이 거리가 멀기에 붙여진 이름이다. 각종 포도 관련 질병에 취약해서 건조한 조건에서 주의 깊게 살피며 재배해야 한다. 루앙 드 뢰이는 가이약(Gaillac)지방에서 주로 재배되며, 모작(Mauzac) 품종 와인에 최대 15% 블렌딩 용도로 많이 사용된다. 루앙 드",2/5,3/5,2/5,1/5,"살구, 꿀, 배","해산물, 체리 파이, 리코타 치즈, 딸기 파블로바, 샐러드"
뮈스까 달레산드리Muscat d'Alexandrie,뮈스까 달레산드리(Muscat d'Alexandrie)는 동의어 뮈스까 오브 알렉산드리아(Muscat of Alexandria)를 참조.,1/5,4/5,3/5,1/5,"꿀, 마멀레이드, 쟈스민, 토스트 향","비스코티, 샤퀴테리, 톡 쏘는 치즈"
아라넬Aranel,아라넬(Aranel)는 프랑스 화이트 품종이다. 꽃향의 아로마와 오렌지 꽃봉우리와 흰복숭아의 부케향을 지니며 좋은산미를 이끌어내는 포도 품종이다. 현재는 그리 많이 쓰이지 않는다.,1/5,3/5,2/5,1/5,"흰복숭아, 꽃",
보르도 블렌드 화이트Bordeaux Blend White,"보르도 블렌드 화이트(Bordeaux Blend White)는 프랑스 보르도의 여러 화이트 품종을 혼합하는 경우를 말한다. 보르도의 화이트 품종들은 세미용(Semillon), 소비뇽 블랑(Sauvignon Blanc) 그리고 뮈스까델(Muscadelle) 등이 대표 품종들이다. 소비뇽 블랑은 풀과 같은 신선감을 주고 세미용은 꿀과 왁스와 같은 복합성을 준다. 뮈스까델은 가장 적게 사용되는데 포도향을 더해준다.",,,,,"잔디, 풀, 레몬, 오렌지, 시트러스, 살구","해산물, 레몬과 흰 살 생선, 가벼운 샐러드, 새우 요리, 팟타이, 타르타르 소스와 샐러드"
슈페트부르군더Spatburgunder,슈페트부르군더(Spätburgunder)는 독일의 아르(Ahr)와 바덴(Baden) 그리고 오르테나우(Ortenau)지역 등지에서 생산되는 피노누아(Pinot Noir)이다. 프랑스의 피노누아는 우아하고 벨벳 같으며 아몬드와 블랙베리등을 포함한 복합적이면서도 뚜렷한 부케를 보여준다. 전통적인 독일의 슈페트부르군더는 좀 더 옅은 색상과 바디 그리고 적절한 타닌과 산미가 있다. 그러나 많은 와인 메이커들이 국제적인 스타일의 와인을,2/5,4/5,3/5,2/5,"바이올렛, 딸기, 스파이스, 버섯, 허브, 라즈베리","리조또, 햄버거, 돼지고기 요리, 피자"
쁘띠 메슬리에Petit Meslier,"쁘띠 메슬리에는 구애 블랑(Gouais Blanc)과 사바냉(Savagnin) 사이 자연적인 접합으로 탄생한 품종이다. 쁘띠 메슬리에는 싹이 일찍 트기 때문에 봄 냉해에 취약하다. 포도알 크기와 색이 불규칙하게 성장하는 문제가 있으며, 귀부균에 취약하다. 송이와 포도알 모두 작다. 쁘띠 메슬리에는 샹파뉴 지역에서 더운 해에 산미를 유지하기 위해 주로 사용된다. 특히, 오브강 남쪽에서 주로 사용된다.",1/5,3/5,2/5,1/5,"레몬, 리치, 복숭아, 배, 모과, 꽃 향","체리 파이, 리코타 치즈, 딸기 파블로바"
토카이 프리울라노Tocai Friulano,토카이 프리울라노 (Tocai Friulano)는 북부 이탈리아의 프리울리 지역에서 발견되는 화이트 품종이다. 그냥 토카이(Tocai)라고도 부르는 이 품종은 헝가리의 토카이(Tokaji)나 프랑스 알자스의 토카이 달자스 (Tokay d'Alsace) 와는 아무런 상관 관계가 없다. 토카이는 가벼우면서도 향기로운 화이트 품종이다. 시트러스와 꽃의 향기가 있으며 약간은 쓴 맛이 뒤에 느껴진다.,1/5,4/5,2/5,1/5,"감귤, 시트러스, 꽃, 아몬드","해산물 리조또, 크림 소스를 이용한 요리, 염소 치즈, 가리비, 구운 연어나 송어"
파보리타(Favorita)Favorita,"파보리타(Favorita)는 이탈리아 화이트 품종이다. 이 품종은 포도알이 일반 식용보다 2배 이상으로 큰 점이 특징적이다. 파보리타는 피에몬테 특히, 랑게(Langhe)와 로에로(Roero) 지역에서 재배된다. 와인은 구조가 좋으며, 산미가 좋고, 배 향이 두드러진다. 만생종으로 간간히 네비올로를 부드럽게 하고자 블렌딩된다.",2/5,4/5,1/5,1/5,"살구, 복숭아, 꽃, 꿀, 허브","스시, 오리, 팟타이와 같은 태국 음식, 치킨 카레"
봄비노 비앙코Bombino Bianco,"봄비노 비앙코(Bombino Bianco)는 이탈리아 에밀리아-로마냐에서 주로 재배되는 화이트 품종이다. 이 품종은 이외 마르케, 라치오, 이탈리아 남주에서도 재배된다. 이 품종은 아브루쪼(Abruzzo) 지방에서 트레비아노 다브루초(Trebbiano d'Abruzzo)로 불리나 트레비아노(Trebbiano)품종과는 관련이 없다. 와인은 맛이 좋고 향기롭다고 알려져 있다. 라이트바디, 중성적인 풍미를 가지면서 감귤류나 약초류의 아로마 와 약간의 미네랄을 가짐",0/5,4/5,2/5,1/5,"열대 과일, 허브, 시트러스","왕새우 요리, 감자튀김, 가자미 요리"
루쉐Ruche,"루쉐(Ruché)는 이탈리아 피에몬테 레드 품종이다. 이 품종은 꽃 향이 두드러지며, 색은 옅으나, 탄닌과 산미가 좋은 와인이 된다. 후추와 야생 베리, 꽃향기 가 느껴지는 와인을 만든다.",0/5,3/5,3/5,3/5,"후추, 야생베리, 꽃","리조또, 파스타, 살라미, 소시지, 햄버거"
네그레토 론가네시Negretto Longanesi,론가네시(Longanesi)와 동일한 품종이다.,1/5,3/5,3/5,2/5,"체리, 딸기, 바닐라","펜네, 페코리노 치즈, 연어 요리, 볼로네제 소스, 바베큐"
레보Rebo,레보(Rebo)는 이탈리아의 트렌티노(Trentino) 지역에서 재배되는 교배종인 레드 포도품종이다. 트렌티노 레보 DOC 에서 이 품종이 매우 제한적으로 심어졌다. 어두운 색상으로 전형적인 루비레드 색상의 스파이시 하면서도 풀바디 레드와인을 만든다.,0/5,0/5,5/5,0/5,"스파이시, 다크 프루트","베이컨 뇨끼, 돼지고기 분짜, 토르티야"
말바시아 디 칸디아 아로마티카Malvasia di Candia Aromatica,"말바지아 디 칸디아 아로마티카는 유전자 분석 결과 말바지아 디 카소르초(Malvasia di Casorzo)에 가깝다고 밝혀졌다. 말바지아 디 칸디아 아로마티카는 다소 늦게 완숙되며 포도알은 가벼운 뮈스카 향을 지니며, 노균병에 취약하다. 말바지아 디 칸디아 아로마티카는 이탈리아 에밀리아 로마냐 지역에서 주로 재배되며, 드라이한 스틸 와인, 스파클링 와인, 파시토(Passito) 스타일 달콤한 와인, 빈 산토(Vin Santo) 등으로",2/5,3/5,3/5,1/5,"복숭아, 살구, 화이트, 커런트, 훈연향, 견과류","교자 만두, 무쉬러우, 팟타이"
타르다나Tardana,"타르다나(Tardana)는 주로 스페인의 발렌시아(Valencia) 지역에서 재배되는 화이트 품종이다. 발렌시아는 지중해성 기후로 따뜻하고 건조한 여름과 온화한 겨울이 특징이며, 석회질과 모래질이 섞인 토양이 해당 품종의 성장에 적합하다. 이 포도로 만든 와인은 라이트 바디와 높은 산도를 가지며 상쾌한 맛을 자랑한다.",1/5,3/5,3/5,1/5,"레몬, 그린 애플, 배, 꽃, 허브","해산물, 새우, 조개류, 샐러드, 치즈, 스시, 사시미"
오쎄후와Auxerrois,"오쎄후아(Auxerrois)는 프랑스 알자스 지역에서 주로 재배되는 화이트 품종이다. 13세기 알자스 로렌에서 'Auchorrois'라는 이름으로 처음 등장했으며, 피노(Pinot)와 구에블랑(Gouais Blanc)의 여러 자손 중 하나로 밝혀졌다. 알자스 내에서 오쎄후아는 라벨에 표기될 수 있으며, 블랜드에 사용되거나 크레망에 주로 사용된다. 보트리티스에 취약해 알자스 디저트 와인에도 가끔 포함되나, 알자스의 디저트와인인 '방당주 타",1/5,2/5,2/5,1/5,,
트루소Trousseau,트루소(Trousseau)는 프랑스 쥐라(Jura)의 레드 품종이며 18세기 프랑슈-꽁떼 지역에서 기원했다고 알려진 품종이다. 포도 품종학의 최고 권위자 샤흘르 후제에 의하면 '트루쏘'라는 이름은 통통하게 생긴 포도 모양을 의미하는 프랑스어의 트후쎄(troussé)에서 왔다고 한다. 둥근 잎 위로 큰 돌기가 있으며 살짝 바깥쪽으로 말려있는 모습을 보인다.,1/5,4/5,4/5,3/5,"다크 베리류, 체리, 자두, 계피, 흙","사슴고기, 레네제 파스타, 라자냐, 브루스케타, 파히타"
샤슬라Chasselas,"샤슬라(Chasselas)는 스위스 화이트 품종이다. 하지만 이 품종은 칠레부터 우크라이나까지 상당히 다양한 곳에서 자란다. 이 품종은 고대 품종으로 이집트에서 유래했다. 샤슬라는 자신이 자란 토양과 기후를 잘 반영한다. 샤슬라는 화강암 토양에서는 꽃 향이 나며, 산미가 좋고, 백악질 토양에서는 과실 향이 좋고 꿀 향이 나며, 점토에서 자란 경우, 무게와 바디가 상당하다. 스위스 외에 독일, 오스트리아, 우크라이나 등의 유럽과 칠레, 캘리포니아 증 신세계 와인 생산국에서도 재배된다. 황금빛의 색깔, 매우 라이트 한 바디, 안정된 산미, 그리고 미네랄과 과일류, 꽃내음과 꿀과 너트류의 풍미를 지님",1/5,3/5,1/5,1/5,"꽃, 꿀, 너트류","구운 야채, 중국 음식, 허브 해산물"
