와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,알코올,음용온도,추천음식,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,숙성,양조
"리비오 펠루가, 멀롯","Livio Felluga, Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=168996&lq=LIST,리비오 펠루가  Livio Felluga,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),메를로 (Merlot),Northern Italy Red,Colli Orientali del Friuli DOC(DOP),13~14 %,16~18 ℃,"붉은 육류, 구운 고기류, 숙성된 치즈 등과 잘 어울린다.",,지에프비노,1/5,3/5,3/5,3/5,"블랙커런트, 레드커런트, 블랙체리, 라스베리, 꽃, 후추, 감초, 커피","그릴요리, 육류요리, 붉은육류, 베이컨, 꼬치구이, 바비큐, 소시지, 항정살, 오겹살, 삼겹살, 돼지고기, 양꼬치, 건육, 훈제오리, 불고기, 육포, 양념갈비, 갈비찜, 치즈, 파르미지아노, 그라노파다노, 블루치즈, 스모크",프렌치 오크통엥서 12개월 간 숙성,온도 제어된 스테인리스 탱크에서 껍질과 발효 후 여과
"칸티네 체치, 주세페 베르디 람브루스코 로사 아마빌레","Cantine Ceci, Giuseppe Verdi Lambrusco Rosa Amabile",https://www.wine21.com/13_search/wine_view.html?Idx=168997&lq=LIST,칸티네 체치   Cantine Ceci,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),람브루스코 (Lambrusco),,Emilia IGT(IGP),8~9 %,8~10 ℃,"해산물 요리, 구운 흰 육류, 가벼운 튀김 등과 잘 어울린다.",,지에프비노,3/5,3/5,2/5,1/5,"시트러스, 꽃","해산물, 튀김",,
"칸티네 체치, 주세페 베르디 말바시아 브륏","Cantine Ceci, Giuseppe Verdi Malvasia Brut",https://www.wine21.com/13_search/wine_view.html?Idx=168998&lq=LIST,칸티네 체치   Cantine Ceci,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),말바시아 (Malvasia) 100%,,,11~12 %,6~8 ℃,"해산물, 달걀요리 , 야채튀김, 숙성된 치즈 등과 잘 어울린다.",,지에프비노,1/5,4/5,2/5,1/5,"복숭아, 시트러스","해산물, 튀김, 야채, 치즈",,Charmat Method로 양조
"칸티네 체치, 1938 스푸만테 브륏","Cantine Ceci, 1938 Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=168999&lq=LIST,칸티네 체치   Cantine Ceci,이탈리아(Italy) / 에밀리아 로마냐(Emilia-Romagna),샤르도네 (Chardonnay) / 피노 누아 (Pinot Noir),,,12~13 %,6~8 ℃,"생선요리, 조개요리 등과 잘 어울린다.",,지에프비노,1/5,4/5,2/5,1/5,"시트러스, 꽃",,,
노 에스 피투코 파이스 로제,No es Pituko Pais Rose,https://www.wine21.com/13_search/wine_view.html?Idx=169000&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 마울레 밸리(Maule Valley),파이스 (Pais),,,12~13 %,10~12 ℃,"모짜렐라 치즈, 리코타 샐러드, 오일 파스타 등과 잘 어울린다.",,지에프비노,1/5,4/5,2/5,1/5,"딸기, 바나나","파스타, 샐러드",스테인리스 탱크에서 25일동안 천연 효모로 발효,수확한 포도를 10도의 차가운 온도에서 4-5일 압착 및 발효
에스 쿠이코 오크드 카버네 소비뇽,Es Cuiko Oaked Cabernet Sauvignon,https://www.wine21.com/13_search/wine_view.html?Idx=169001&lq=LIST,에체베리아  Echeverria,칠레(Chile) / 쿠리코 밸리(Curico Valley),카베르네 소비뇽 (Cabernet Sauvignon),,,13~14 %,16~18 ℃,"토마토 파스타, 하드 치즈 등과 잘 어울린다.",,지에프비노,1/5,4/5,4/5,3/5,,"파스타, 치즈",,
레 뻬이로땅 시라 그르나쉬,Les Peyrautins Syrah Grenache,https://www.wine21.com/13_search/wine_view.html?Idx=169002&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache),,,13~14 %,16~18 ℃,그릴에 구운 육류나 양고기 구이 등 풍성한 맛의 육류요리 등과 잘 어울린다.,,신세계엘앤비,1/5,3/5,5/5,4/5,후추,"육류요리, 양고기",,
레 뻬이로땅 시라,Les Peyrautins Syrah,https://www.wine21.com/13_search/wine_view.html?Idx=169003&lq=LIST,엘지아이 와인  LGI Wines,프랑스(France) / 서던 프랑스(Southern France),시라/쉬라즈 (Syrah/Shiraz),,,13~14 %,16~18 ℃,그릴에 구운 육류나 양고기 구이 등 풍성한 맛의 육류요리 등과 잘 어울린다.,,신세계엘앤비,1/5,3/5,5/5,4/5,"배, 오크","육류요리, 양고기",,
"깔멜 앤 조셉, 레 떼루아 포제르","Calmel & Joseph, Les Terroirs Faugeres",https://www.wine21.com/13_search/wine_view.html?Idx=169004&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),Languedoc-Roussillon Red,Faugères AOC(AOP),13~14 %,16~18 ℃,"니수아즈 샐러드, 허브를 올려 구운 붉은 육류요리 및 가금류, 라따뚜이 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"타르, 동물","육류요리, 가금류, 샐러드",발효 후 탱크에서 12개월 숙성,
"깔멜 앤 조셉, 레 떼루아 생 쉬니앙","Calmel & Joseph, Les Terroirs Saint Chinian",https://www.wine21.com/13_search/wine_view.html?Idx=169005&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 쌩쏘 (Cinsault),Languedoc-Roussillon Red,Saint-Chinian AOC(AOP),13~14 %,16~18 ℃,"니수아즈 샐러드, 허브를 올려 구운 붉은 육류요리 및 가금류, 라따뚜이 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"미네랄, 효모","육류요리, 가금류, 샐러드",콘크리트 탱크에서 발효 후 효모 찌꺼기와 함께 1년간 숙성,
"깔멜 앤 조셉, 레 떼루아 뷰 까리냥","Calmel & Joseph, Les Terroirs Vieux Carignan",https://www.wine21.com/13_search/wine_view.html?Idx=169006&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),까리냥 (Carignan/Carignane),Languedoc-Roussillon Red,,14~15 %,16~18 ℃,"붉은 육류요리, 돼지고기 로스트, 칠면조 요리, 오리고기 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,자두,육류요리,12개월 간 숙성 후 병입,
"깔멜 앤 조셉, 레 떼루아 미네르부아","Calmel & Joseph, Les Terroirs Minervois",https://www.wine21.com/13_search/wine_view.html?Idx=169007&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),Languedoc-Roussillon Red,Minervois AOC(AOP),14~15 %,16~18 ℃,"니수아즈 샐러드, 허브를 올려 구운 붉은 육류요리 및 가금류, 라따뚜이 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"시나몬, 효모","육류요리, 가금류, 샐러드",스테인리스 스틸 탱크에서 발효 후 효모 찌꺼기와 함께 1년간 숙성,
"깔멜 앤 조셉, 레 떼루아 꼬르비에르","Calmel & Joseph, Les Terroirs, Corbieres",https://www.wine21.com/13_search/wine_view.html?Idx=169008&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,Corbières AOC(AOP),13~14 %,16~18 ℃,"구운 육류요리, 소스를 가미한 야생사냥고기, 블루치즈, 오리 가슴살 샐러드, 초콜릿 디저트 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"배, 민트","육류요리, 샐러드",발효 후 콘크리트 탱크에서 6개월 숙성,
"깔멜 앤 조셉, 레 떼루아 꼬뜨 뒤 루시옹 빌라쥐","Calmel & Joseph, Les Terroirs, Cotes du Roussillon Villages",https://www.wine21.com/13_search/wine_view.html?Idx=169009&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),시라/쉬라즈 (Syrah/Shiraz) / 까리냥 (Carignan/Carignane) / 그르나슈 (Grenache),Languedoc-Roussillon Red,Côtes du Roussillon AOC(AOP),14~15 %,16~18 ℃,"구운 육류요리, 소스를 가미한 야생사냥고기, 블루치즈, 오리 가슴살 샐러드, 초콜릿 디저트 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"민트, 코코아","육류요리, 샐러드",발효 후 콘크리트 탱크에서 숙성,
"깔멜 앤 조셉, 라 마돈느","Calmel & Joseph, La Madone",https://www.wine21.com/13_search/wine_view.html?Idx=169010&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz),Languedoc-Roussillon Red,Corbières AOC(AOP),14~15 %,16~18 ℃,"양고기, 스테이크 등 풍미가 진한 붉은 육류요리 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,5/5,4/5,"블랙베리, 배, 시나몬",양고기,2년 된 배럴에 담아 15개월간 숙성,25℃ 온도에서 약 4주간 마세레이션과 알코올 발효를 거쳐 젖산발효도 진행
"깔멜 앤 조셉, 빌라 블랑쉬 그르나쉬 로제","Calmel & Joseph, Villa Blanche Grenache Rose",https://www.wine21.com/13_search/wine_view.html?Idx=169011&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),그르나슈 그리 (Grenache Gris) / 그르나슈 (Grenache),Languedoc-Roussillon Rosé,Pays d'Oc IGP,12~13 %,10~12 ℃,"피자, 파스타, 매콤한 해산물 요리, 시즈닝한 바비큐 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,3/5,1/5,"시트러스, 아니스, 민트, 효모","바비큐, 해산물",효모 찌꺼기와 함께 스테인리스 스틸 탱크에서 숙성,낮은 온도에서 6시간 가량 짧게 마세라시옹 과정을 거쳐 색깔과 풍미를 추출
"깔멜 앤 조셉, 빌라 블랑쉬 샤르도네","Calmel & Joseph, Villa Blanche Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169012&lq=LIST,깔멜 앤 조셉  Calmel & Joseph,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),샤르도네 (Chardonnay),Languedoc-Roussillon White,Pays d'Oc IGP,13~14 %,10~12 ℃,"신선한 해산물, 생선구이, 크림소스 파스타 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,3/5,1/5,"열대과일, 꽃, 아니스, 민트, 오크","생선구이, 해산물, 파스타",오크 배럴에서 3개월 숙성,
"프레스코발디, 니포짜노 키안티 루피나 몬테소디","Frescobaldi, Nipozzano Chianti Rufina Riserva Montesodi",https://www.wine21.com/13_search/wine_view.html?Idx=169014&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 키안티(Chianti),산지오베제 (Sangiovese),Central Italy Red,Chianti Rufina DOCG(DOP),13~14 %,16~18 ℃,"오리고기, 소고기 스튜, 육전 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,3/5,4/5,"꽃, 오크",오리고기,15개월 간 프랑스와 오스트리아 산 오크 배럴에서 숙성,
"프레스코발디, 알리에 로제","Frescobaldi, Alie Rose",https://www.wine21.com/13_search/wine_view.html?Idx=169015&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),시라/쉬라즈 (Syrah/Shiraz) / 베르멘티노 (Vermentino),,,12~13 %,8~10 ℃,"돼지고기 요리, 연어 그라블락스 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,2/5,2/5,"복숭아, 장미","연어, 복숭아",,
"프레스코발디, 카스텔지오콘도 라마이오네","Frescobaldi, Castelgiocondo Lamaione",https://www.wine21.com/13_search/wine_view.html?Idx=169016&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),메를로 (Merlot),Central Italy Red,,14~15 %,16~18 ℃,"바비큐, 양고기 스튜, 비스마르크 피자 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"감초, 민트","스튜, 바비큐, 양고기, 피자",24개월 간 80%의 새 프랜치 오크에서 숙성되며 12개월의 병 숙성과정을 추가로 거친다.,
"프레스코발디, 카스텔지오콘도 로쏘 디 몬탈치노","Frescobaldi, Castelgiocondo AI sassi Rosso di Montalcino",https://www.wine21.com/13_search/wine_view.html?Idx=169017&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 몬탈치노(Montalcino),산지오베제 (Sangiovese) 100%,Italian Brunello,Brunello di Montalcino DOCG(DOP),14~15 %,16~18 ℃,"숙선된 치즈, 프로슈토, 구운 육류 요리 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,4/5,4/5,"배, 꽃","프로슈토, 치즈",,
"프레스코발디, 키안티 클라시코 파우나에","Frescobaldi, Chianti Classico Faunae",https://www.wine21.com/13_search/wine_view.html?Idx=169018&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana) / 키안티 클라시코(Chianti Classico),산지오베제 (Sangiovese),,,13~14 %,16~18 ℃,"숯불에 구운 육류요리, 숙성된 치즈 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,3/5,4/5,꽃,"육류요리, 치즈",,
"프레스코발디, 테누타 카스틸리오니 키안티","Frescobaldi, Tenuta Castiglioni Chianti",https://www.wine21.com/13_search/wine_view.html?Idx=169019&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),산지오베제 (Sangiovese) / 메를로 (Merlot),Italian Chianti,Chianti DOCG(DOP),13~14 %,16~18 ℃,"미트 소스를 곁들인 파파르델레 파스타, 구운 닭 요리, 살짝 데친 소고기와 야채, 숙성된 치즈 등과 잘 어울린다.",,신세계엘앤비,1/5,3/5,3/5,4/5,,"파스타, 야채, 치즈",,
"프레스코발디, 포미노 비앙코","Frescobaldi, Pomino Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=169020&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),샤르도네 (Chardonnay) / 피노 비앙코 (Pinot Bianco),,Toscana IGT(IGP),12~13 %,8~10 ℃,"지중해식 해산물 요리, 빠에야, 랍스터 버터 구이 등과 잘 어울린다.",,신세계엘앤비,1/5,4/5,1/5,1/5,꽃,,,
"프레스코발디, 포미노 피노 네로","Frescobaldi, Pomino Pinot Nero",https://www.wine21.com/13_search/wine_view.html?Idx=169021&lq=LIST,프레스코발디  Frescobaldi,이탈리아(Italy) / 토스카나(Toscana),피노 누아 (Pinot Noir),,Toscana IGT(IGP),13~14 %,16~18 ℃,"토마호크 스테이크, 뵈프 부르기뇽, 갈비찜 등과 잘 어울린다.",,신세계엘앤비,1/5,4/5,3/5,3/5,"체리, 감초, 허브","스테이크, 갈비찜",,
토마스 킴 데뤼에 브뤼,Thomas Kim Desruets Brut,https://www.wine21.com/13_search/wine_view.html?Idx=169022&lq=LIST,샴페인 조셉 데뤼에  Champagne Joseph Desruets,프랑스(France) / 샹빠뉴(Champagne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 피노 뮈니에 (Pinot Meunier),French Champagne,Champagne AOC(AOP),12~13 %,6~8 ℃,"스시, 회, 해산물, 굴, 랍스터, 게, 다양한 치즈, 샐러드, 아시아요리, 동남아요리, 과일, 디저트 등과 잘 어울린다.",,,1/5,4/5,3/5,1/5,"사과, 꽃, 브리오슈, 버터, 꿀","스시, 샐러드, 과일, 치즈, 디저트",,
"마크 웨스트, 샤도네이","Mark West, Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=169023&lq=LIST,마크 웨스트 와이너리  Mark West WInery,미국(U.S.A) / 캘리포니아(California),샤르도네 (Chardonnay) 100%,Californian Chardonnay,,13~14 %,10~12 ℃,"바비큐, 훈제오리, 오리로스, 치킨, 훈제연어, 장어구이, 참치, 새우, 해산물, 숙성 치즈, 피자, 파스타, 탕수육 등과 잘 어울린다.",,,2/5,3/5,3/5,1/5,"시트러스, 미네랄, 오크","바비큐, 수육, 탕수육, 치즈",,
"파머스 립, 더 포츈","Farmer's Leap, The Fortune",https://www.wine21.com/13_search/wine_view.html?Idx=169024&lq=LIST,파머스 립   Farmer's Leap,호주(Australia) / 사우스 오스트레일리아(South Australia) / 패더웨이(Padthaway),시라/쉬라즈 (Syrah/Shiraz),Australian Shiraz,,,16~18 ℃,"붉은 육류, 스테이크, 갈비찜, 스튜, 불고기, 양갈비, 한국음식 과 잘 어울린다.",,국순당,1/5,3/5,4/5,4/5,감초,양갈비,22개월간 프렌치 오크통 숙성,
"파머스 립, 페더웨이 까베르네 소비뇽","Farmer's Leap, Padthaway Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=169027&lq=LIST,파머스 립   Farmer's Leap,호주(Australia) / 사우스 오스트레일리아(South Australia) / 패더웨이(Padthaway),카베르네 소비뇽 (Cabernet Sauvignon),Australian Shiraz,,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,국순당,1/5,3/5,4/5,4/5,"체리, 배, 허브, 코코아, 흙","양갈비, 치즈",18개월간 오크통 숙성 (100% 프렌치) 20% New Oak,
"데블스 코너, 프리미엄 뀌베","Devil's Corner, Premium Cuvee",https://www.wine21.com/13_search/wine_view.html?Idx=169028&lq=LIST,데블스 코너  Devil's Corner,호주(Australia) / 태즈매니아(Tasmania),샤르도네 (Chardonnay) 85% / 피노 누아 (Pinot Noir) 15%,,,12~13 %,6~8 ℃,"샐러드, 회, 해산물 찜, 구운야채, 치즈, 치킨 등과 잘 어울린다.",,금양인터내셔날,1/5,4/5,3/5,1/5,사과,"치킨, 해산물, 치즈",,
"파머스 립, 필러 박스 레드","Farmer's Leap, Pillar Box Red",https://www.wine21.com/13_search/wine_view.html?Idx=169029&lq=LIST,파머스 립   Farmer's Leap,호주(Australia) / 사우스 오스트레일리아(South Australia) / 패더웨이(Padthaway),시라/쉬라즈 (Syrah/Shiraz) / 카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot),,,,16~18 ℃,"붉은육류, 스테이크, 양갈비, 바비큐, 불고기, 파스타, 다양한 치즈, 햄버거, 한국음식 등과 잘 어울린다.",,국순당,1/5,3/5,4/5,4/5,"블랙베리, 민트, 삼나무","양갈비, 치즈","12개월간 50% 오크통, 50% 스테인레스 탱크 숙성",
"틴토 네그로, 1955 라 콘솔타 빈야드 말벡","Tinto Negro, 1955 Vineyard La Consulta Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=169030&lq=LIST,틴토 네그로  Tinto Negro,아르헨티나(Argentina) / 멘도사(Mendoza) / 우코 밸리(Uco Valley),말벡 (Malbec),Argentinian Malbec,,,16~18 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",*2018 빈티지: Tim Atkin 96점,국순당,1/5,3/5,4/5,4/5,바닐라,"스테이크, 중국요리",18개월간 프렌치 오크통 숙성 (39% 뉴 오크통),
"틴토 네그로, 핑카 라 에스꾸엘라 말벡","Tinto Negro, Finca La Escula Malbec",https://www.wine21.com/13_search/wine_view.html?Idx=169031&lq=LIST,틴토 네그로  Tinto Negro,아르헨티나(Argentina) / 멘도사(Mendoza),말벡 (Malbec),Argentinian Malbec,,,16~18 ℃,"양갈비, 양꼬치, 스테이크, 갈비, 불고기, 한국음식, 중국요리와 잘 어울린다.",,국순당,1/5,3/5,4/5,4/5,미네랄,"스테이크, 중국요리",12개월간 프렌치 오크통 숙성 (15% 뉴 오크통),
