와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,스타일,등급,양조,숙성,음용온도,기타정보,수입사,당도,산도,바디,타닌,아로마,음식매칭,알코올,추천음식
"비냐 사스트레, 크리안자","Vina Sastre, Crianza",https://www.wine21.com/13_search/wine_view.html?Idx=174580&lq=LIST,비냐 사스트레  Vina Sastre,스페인(Spain) / 리베라 델 두에로(Ribera del Duero),템프라니요 (Tempranillo),Spanish Ribera Del Duero Red,Ribera del Duero DO(DOP),,프렌치 및 아메리칸 오크(70% 뉴 오크 사용) 에서 14개월 숙성,16~18 ℃,,하이트진로,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 자두, 바닐라, 감초, 시나몬, 허브, 아몬드, 코코아","스테이크, 육류요리, 양갈비, 양고기, 불고기, 양념갈비, 갈비찜, 족발, 순대, 자두, 견과류, 치즈, 파르미지아노, 그라노파다노",,"스테이크, 양고기, 양념갈비, 치즈와 잘 어울린다."
"자시 마르케사니, 루디르 몬테풀치아노","Jasci & Marchesani, Rudhir Montepulciano",https://www.wine21.com/13_search/wine_view.html?Idx=174581&lq=LIST,자시 & 마르케사니  Jasci & Marchesani,이탈리아(Italy) / 아브루쪼(Abruzzo),몬테풀치아노 (Montepulciano),Italian Montepulciano d'Abruzzo,Montepulciano d'Abruzzo DOC(DOP),,"오크 배럴과 바리크에서 숙성. 수확 후 18개월 정도에 병입, 2년 병 숙성 진행.",16~18 ℃,,하이트진로,1/5,3/5,0/5,3/5,"블랙체리, 블루베리, 자두, 제비꽃, 바닐라, 시나몬, 초콜릿","육류요리, 돼지고기, 양갈비, 건육, 치킨, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 자두, 치즈, 파르미지아노, 브리, 그라노파다노, 고르곤졸라, 블루치즈",,"구운 돼지, 치킨, 숙성된 치즈와 잘 어울린다."
"컬런 와인스, 카베르네 소비뇽 메를로","Cullen Wines, Cabernet Sauvignon Merlot",https://www.wine21.com/13_search/wine_view.html?Idx=174582&lq=LIST,컬런 와인스  Cullen Wines,호주(Australia) / 웨스턴 오스트레일리아(Western Australia) / 마가렛 리버(Margaret River),카베르네 소비뇽 (Cabernet Sauvignon) / 메를로 (Merlot) / 쁘띠 베르도 (Petit Verdot) / 카베르네 프랑 (Cabernet Franc) / 말벡 (Malbec),Australian Cabernet Sauvignon,,,8 months in 33% new oak,16~18 ℃,,,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 아니스, 오크","소고기, 바비큐, 양갈비, 양념갈비",13~14 %,
"발네이브스 오브 쿠나와라, 더 탤리 리저브 카베르네 소비뇽","Balnaves of Coonawarra, The Tally Reserve Cabernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=174583&lq=LIST,발네이브스 오브 쿠나와라  Balnaves of Coonawarra,호주(Australia) / 사우스 오스트레일리아(South Australia) / 쿠나와라(Coonawarra),카베르네 소비뇽 (Cabernet Sauvignon),Australian Cabernet Sauvignon,,,,16~18 ℃,*죽기 전에 꼭 마셔봐야 할 와인 1001*Langtons VI - LIsted as Outstanding,,1/5,3/5,4/5,4/5,"블랙체리, 블랙베리, 아니스, 오크","소고기, 돼지고기, 양갈비, 양념갈비",14~15 %,
"제라르 베르트랑, 아트 비브르 블랑","Gerard Bertrand, Art de Vivre Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=174584&lq=LIST,제라르 베르트랑  Gerard Bertrand,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon),클레렛  (Clairette),Languedoc-Roussillon White,Clairette du Languedoc AOC(AOP),포도의 신선한 아로마와 산도를 보존하기 위해 수확은 새벽 5시~오전 8시에만 진행. 첫 번째 압착한 주스만을 사용.,,10~12 ℃,,하이트진로,1/5,3/5,3/5,1/5,"복숭아, 배, 서양배, 꽃, 허브","건육, 초밥, 생선회, 해산물, 동남아요리, 아시아요리, 샐러드, 복숭아, 과일",,
라스 헤르마나스 블랑코,Las Hermanas Blanco,https://www.wine21.com/13_search/wine_view.html?Idx=174585&lq=LIST,보데가스 루손  Bodegas Luzon,스페인(Spain) / 후미야(Jumilla),마카베오 (Macabeo),,Jumilla DO(DOP),,,8~10 ℃,,,1/5,3/5,2/5,1/5,"복숭아, 감귤, 아카시아","사시미, 문어숙회, 오일파스타, 샐러드",11~12 %,
"노이도르프, 로지스 블럭 모우테레 샤르도네","Neudorf, Rosie's Block Moutere Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174586&lq=LIST,노이도르프  Neudorf,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),샤르도네 (Chardonnay),New Zealand Chardonnay,,,,10~12 ℃,,에노테카코리아,1/5,3/5,2/5,1/5,"서양배, 사과, 시트러스, 미네랄, 부싯돌, 허브","건육, 후라이드, 치킨, 참치, 해산물, 순대, 오일파스타, 중국요리, 탕수육, 리코타",13~14 %,
"노이도르프, 톰스 블록 모우테레 피노 누아","Neudorf, Tom's Block Moutere Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174587&lq=LIST,노이도르프  Neudorf,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),피노 누아 (Pinot Noir),New Zealand Pinot Noir,,,,14~16 ℃,,에노테카코리아,1/5,3/5,3/5,3/5,"블랙체리, 라스베리, 자두, 붉은꽃, 정향, 감초, 버섯","로스트비프, 까르파치오, 바비큐, 양고기, 건육, 양념갈비, 갈비찜, 족발, 라자냐, 리조또, 파르미지아노, 파마산, 체다, 그라노파다노, 콩테",13~14 %,
"노이도르프, 티리티리 샤르도네","Neudorf, Tiritiri Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174588&lq=LIST,노이도르프  Neudorf,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),샤르도네 (Chardonnay) 100%,New Zealand Chardonnay,,10% 뉴 프렌치 오크 발효.,10개월 동안 리 숙성.,8~10 ℃,"* 티리티리는 마오리족언어로 '식물의 심다'  '경작하다' 라는 뜻으로, 티리티리 샤르도네는 현대적이긴 하지만, 암포라 에이징에 대한 노이도르프 탐구를 가진 와인임.",에노테카코리아,1/5,3/5,3/5,1/5,"복숭아, 서양배, 시트러스, 꽃, 미네랄, 허브, 오크","닭강정, 치킨, 연어, 참치, 장어, 해산물, 수육, 오일파스타, 중국요리, 탕수육, 샐러드, 복숭아, 체다, 크림치즈",,
"노이도르프, 홈 블럭 모우테레 샤르도네","Neudorf, Home Block Moutere Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174589&lq=LIST,노이도르프  Neudorf,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),샤르도네 (Chardonnay),New Zealand Chardonnay,,,15% new 오크 배럴 숙성,10~12 ℃,,에노테카코리아,1/5,3/5,3/5,1/5,"복숭아, 배, 서양배, 열대과일, 흰꽃, 미네랄, 허브","닭강정, 후라이드, 해산물, 편육, 수육, 오일파스타, 중국요리, 탕수육, 견과류, 치즈, 파르미지아노, 그라노파다노",13~14 %,
"노이도르프, 홈 블럭 모우테레 피노 누아","Neudorf, Home Block Moutere Pinot Noir",https://www.wine21.com/13_search/wine_view.html?Idx=174590&lq=LIST,노이도르프  Neudorf,뉴질랜드(New Zealand) / 사우스 아일랜드(South Island) / 넬슨(Nelson),피노 누아 (Pinot Noir),New Zealand Pinot Noir,,,,14~16 ℃,,에노테카코리아,1/5,3/5,3/5,2/5,"블랙체리, 블랙베리, 라스베리, 붉은꽃, 미네랄, 타바코, 커피, 다크초콜릿, 가죽","로스트비프, 까르파치오, 바비큐, 건육, 보쌈, 족발, 수육, 크림파스타, 리조또, 과일, 견과류, 파르미지아노, 카망베르, 그라노파다노, 콩테",13~14 %,
"폴 쇼에, 크레망 드 부르고뉴 레 콰트르 새종","Paul Chollet, Cremant de Bourgogne Les Quatre Saisons",https://www.wine21.com/13_search/wine_view.html?Idx=174591&lq=LIST,폴 쇼에  Paul Chollet,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay) / 알리고테 (Aligote) / 가메이 (Gamay),French Crémant,,"포도 선별 및 손 수확, 저온 발효 진행.",24개월 숙성 후 출시.,8~10 ℃,* 도사주: 6g/l,에노테카코리아,1/5,3/5,3/5,1/5,"복숭아, 서양배, 시트러스, 레몬, 미네랄, 부싯돌, 브리오슈, 비스켓","건육, 초밥, 생선회, 해산물, 동그랑땡, 나물, 비빔밥, 수육, 파스타, 리조토, 중국요리, 탕수육, 양장피, 동남아요리, 아시아요리, 식전주, 샐러드, 치즈, 리코타, 크림치즈, 타르트, 티라미수, 티라미슈",,
"폴 쇼에, 크레망 드 부르고뉴 로제","Paul Chollet, Cremant de Bourgogne Rose",https://www.wine21.com/13_search/wine_view.html?Idx=174592&lq=LIST,폴 쇼에  Paul Chollet,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir),French Crémant,,포도 선별 및 손수확. 저온 발효. 말로락틱 발효.,최소 12개월 숙성.,8~10 ℃,* 도사주 : 7g/l,에노테카코리아,1/5,3/5,3/5,2/5,"블랙베리, 딸기, 라스베리, 장미, 미네랄, 허브","로스트비프, 까르파치오, 바비큐, 건육, 후라이드, 오리로스, 초밥, 생선회, 참치, 해산물, 편육, 떡볶이, 만두, 물냉면, 수육, 파스타, 서양요리, 리조또, 중국요리, 식전주, 샐러드, 견과류, 치즈, 체다, 리코타, 크림치즈, 케이크, 크로아상, 티라미슈",,
"폴 쇼에, 크레망 드 부르고뉴 블랑 제로","Paul Chollet, Cremant de Bourgogne Blanc Zero",https://www.wine21.com/13_search/wine_view.html?Idx=174593&lq=LIST,폴 쇼에  Paul Chollet,프랑스(France) / 부르고뉴(Bourgogne),피노 누아 (Pinot Noir) / 샤르도네 (Chardonnay),French Crémant,,포도 선별 및 손 수확. 저온 발효. 말로락틱 발효.,최소 18 개월 숙성.,6~8 ℃,,에노테카코리아,1/5,4/5,3/5,1/5,"딸기, 크랜베리, 라스베리, 사과, 시트러스, 흰꽃, 꽃, 미네랄, 브리오슈, 비스켓","로스트비프, 까르파치오, 건육, 스시, 생선회, 연어, 참치, 해산물, 파스타, 서양요리, 리조또, 중국요리, 탕수육, 양장피, 동남아요리, 아시아요리, 식전주, 샐러드, 과일, 치즈, 리코타, 크림치즈, 콩테",,
"뱅상 바슐래, 쌍뜨네","Vincent Bachelet, Santenay",https://www.wine21.com/13_search/wine_view.html?Idx=174594&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 상트네(Santenay),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,Santenay AOC(AOP),,,14~16 ℃,,,1/5,4/5,2/5,2/5,,,13~14 %,
"뱅상 바슐래, 뽀마르","Vincent Bachelet, Pommard",https://www.wine21.com/13_search/wine_view.html?Idx=174595&lq=LIST,뱅상 바슐래  Vincent Bachelet,프랑스(France) / 부르고뉴(Bourgogne) / 꼬뜨 드 본(Côte de Beaune) / 뽀마르(Pommard),피노 누아 (Pinot Noir),Burgundy Côte de Beaune Red,Pommard AOC(AOP),,,14~16 ℃,,,1/5,4/5,3/5,2/5,,,13~14 %,
"비냐 데 아귀레, 소울와인 까버네 쇼비뇽","Vina De Aguirre, Soul wine Carbernet Sauvignon",https://www.wine21.com/13_search/wine_view.html?Idx=174596&lq=LIST,비냐 데 아귀레  Vina De Aguirre,칠레(Chile) / 센트럴 밸리(Central Valley),카베르네 소비뇽 (Cabernet Sauvignon),Chilean Cabernet Sauvignon,,,,16~18 ℃,"* Vitis lnternational Wine Magazine Contest 에서, 2011년 가장 우수한 칠레 와이너리로 선정.(The Most awarded Chilean winery in International competitions in 2011 to BODEGAS Y VINEDOS DE AGUIRRE SA & VINA BAIGUE)",리커밸리,1/5,3/5,4/5,3/5,"블랙커런트, 블랙체리, 블랙베리, 말린자두, 육두구, 정향, 유칼립투스, 오크","스테이크, 붉은육류, 양갈비, 양고기, 오리고기, 찜닭, 오리로스, 불고기, 양념갈비, 갈비찜, 족발, 파스타, 토마토파스타, 피자, 치즈, 체다, 고다, 브리, 까망베르, 그라노파다노, 블루치즈",12~13 %,
"비냐 데 아귀레, 소울와인 샤도네이","Vina De Aguirre, Soul wine Chardonnay",https://www.wine21.com/13_search/wine_view.html?Idx=174597&lq=LIST,비냐 데 아귀레  Vina De Aguirre,칠레(Chile) / 센트럴 밸리(Central Valley),샤르도네 (Chardonnay),Chilean Chardonnay,,"3월 중순경, 아침 일찍부터 손수확하여 엄선한 포도로 12~14도에서 오직 선별된 이스트와 함께 저압으로만 발효 후 스테인레스 스틸에서 발효시킨 와인.  병입전에 와인을 안정화하고 여과하여 조심스럽게 숙성 진행.",,12~14 ℃,"* Vitis lnternational Wine Magazine Contest 에서, 2011년 가장 우수한 칠레 와이너리로 선정.(The Most awarded Chilean winery in International competitions in 2011 to BODEGAS Y VINEDOS DE AGUIRRE SA & VINA BAIGUE)",리커밸리,1/5,3/5,3/5,1/5,"구즈베리, 황도, 복숭아, 라임, 레몬, 열대과일, 허브","건육, 양념치킨, 닭강정, 치킨, 생선구이, 초밥, 생선회, 연어, 참치, 중국요리, 탕수육, 아시아요리, 샐러드, 복숭아, 치즈, 리코타",12~13 %,
"프랑크 비나제츠, 레 젤 뒤 벙","Franck Benazeth, Les Ailes Du Vent",https://www.wine21.com/13_search/wine_view.html?Idx=174598&lq=LIST,프랑크 비나제츠  Franck Benazeth,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 미네르브와(Minervois),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),Languedoc-Roussillon Red,Minervois AOC(AOP),,,16~18 ℃,,레드와인앤제이와이,1/5,3/5,4/5,3/5,"레드커런트, 블랙체리, 라스베리, 후추, 바닐라, 감초, 허브","스테이크, 붉은육류, 양고기, 양념갈비, 갈비찜, 라자냐, 브리, 까망베르, 에뿌아스, 그뤼에르",14~15 %,
"오지에, 레 꼴린 꼬뜨 뒤 론","Ogier, Les Collines Cotes Du Rhone",https://www.wine21.com/13_search/wine_view.html?Idx=174599&lq=LIST,오지에  Ogier,프랑스(France) / 론(Rhone) / 꼬뜨 뒤 론(Côtes du Rhone),그르나슈 (Grenache) / 시라/쉬라즈 (Syrah/Shiraz) / 무르베드르 (Mourvedre),Southern Rhône Red,Côtes du Rhône AOC(AOP),,,16~18 ℃,,레드와인앤제이와이,1/5,3/5,4/5,3/5,"레드커런트, 체리, 딸기, 라스베리, 바닐라, 감초, 오크","스테이크, 붉은육류, 양고기, 건육, 양념갈비, 갈비찜, 족발, 라자냐, 브리, 까망베르, 에뿌아스, 블루치즈",13~14 %,
"샤또 블라냑, 오 메독","Chateau Blagnac, Haut Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=174600&lq=LIST,샤또 블라냑  Chateau Blagnac,프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Red,,,,16~18 ℃,* Challenge International du Vin “Gold”* Concours International de LYON “Gold” 2018 – 2016 vin,레드와인앤제이와이,1/5,3/5,4/5,3/5,"블랙커런트, 블랙베리, 블루베리, 육두구, 정향, 민트, 초콜릿","스테이크, 붉은육류, 양갈비, 불고기, 양념갈비, 갈비찜, 라자냐, 파스타, 리조토, 치즈, 파르미지아노, 고다, 그라노파다노, 로크포르, 페타, 콩테",12~13 %,
"샤또 살뤼즈, 미네르부아","Chateau Salauze, Minervois",https://www.wine21.com/13_search/wine_view.html?Idx=174601&lq=LIST,샤또 살뤼즈   Chateau Salauze,프랑스(France) / 서던 프랑스(Southern France) / 랑그독 루씨용(Languedoc Roussillon) / 미네르브와(Minervois),시라/쉬라즈 (Syrah/Shiraz) / 까리냥 (Carignan/Carignane) / 그르나슈 (Grenache),Languedoc-Roussillon Red,Minervois AOC(AOP),,,16~18 ℃,"* 2019 빈티지 - Gilbert & Gaillard 2021, Gold* 2018 빈티지 - Frankfurt International Trophy, Gold",레드와인앤제이와이,1/5,3/5,4/5,3/5,"블랙체리, 블랙베리, 블루베리, 자두, 후추, 바닐라, 감초, 흙, 낙엽","스테이크, 붉은육류, 양갈비, 꽁피, 불고기, 양념갈비, 갈비찜, 라자냐, 리조토, 자두, 고다, 브리, 고르곤졸라, 페타, 블루치즈",14~15 %,
"메종 장장, 떼루아 에 트라디시옹 코스티에르 드 님","Maison JeanJean, Terroir et Tradition Costieres de Nimes",https://www.wine21.com/13_search/wine_view.html?Idx=174602&lq=LIST,메종 장장  Maison JeanJean,프랑스(France) / 론(Rhone) / 꼬스띠에르 드 님(Costieres de Nîmes),시라/쉬라즈 (Syrah/Shiraz) / 그르나슈 (Grenache) / 까리냥 (Carignan/Carignane),Southern Rhône Red,Costières de Nîmes AOC(AOP),,,16~18 ℃,,레드와인앤제이와이,1/5,3/5,4/5,3/5,"블랙체리, 체리, 자두, 후추, 감초, 가죽, 흙","스테이크, 붉은육류, 양갈비, 불고기, 양념갈비, 갈비찜, 족발, 라자냐, 리조토, 자두, 치즈, 체다, 고다, 브리, 에뿌아스, 블루치즈",13~14 %,
"샤또 당떼이엉, 프랑세스 당떼이엉 오 메독","Chateau D'Hanteillan, Princesses D'Hanteillan Haut Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=174603&lq=LIST,샤또 당떼이엉  Chateau D'Hanteillan,프랑스(France) / 보르도(Bordeaux) / 오-메독(Haut-Medoc),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon),Bordeaux Red,,,,16~18 ℃,* Challenge International du Vin “Silver”* Concours de Bordeaux “Gold”,레드와인앤제이와이,1/5,3/5,3/5,3/5,"레드커런트, 블랙체리, 체리, 라스베리, 자두, 바닐라, 정향, 커피","스테이크, 붉은육류, 양갈비, 양념갈비, 갈비찜, 족발, 파스타, 리조또, 자두, 치즈, 체다, 고다, 콩테",13~14 %,
"쥘 레베그, 메독","Jules Lebegue, Medoc",https://www.wine21.com/13_search/wine_view.html?Idx=174604&lq=LIST,쥘 레베그   Jules Lebegue,프랑스(France) / 보르도(Bordeaux) / 메독(Medoc),메를로 (Merlot) / 카베르네 소비뇽 (Cabernet Sauvignon) / 카베르네 프랑 (Cabernet Franc) / 쁘띠 베르도 (Petit Verdot),Bordeaux Médoc,,,최대 30%가 배럴(2년차 및 3년차)에서 12개월 동안 숙성.,16~18 ℃,,레드와인앤제이와이,1/5,3/5,3/5,3/5,"블랙커런트, 블랙베리, 라스베리, 자두, 육두구, 정향, 허브","스테이크, 붉은육류, 양갈비, 보쌈, 양념갈비, 갈비찜, 수육, 파스타, 리조또, 자두, 치즈, 파르미지아노, 체다, 고다, 그라노파다노",13~14 %,
"르 꼰떼쎄 보니, 스푸만테 브뤼","Le Contesse, Bonny Spumante Brut",https://www.wine21.com/13_search/wine_view.html?Idx=174605&lq=LIST,르 꼰떼쎄  Le Contesse,이탈리아(Italy) / 프리울리 베네찌아 줄리아(Friuli Venezia Giulia),샤르도네 (Chardonnay) / 리볼라 지알라 (Ribolla Gialla) / 글레라 (Glera),Italian Prosecco,,,,6~8 ℃,,레드와인앤제이와이,1/5,3/5,2/5,1/5,"청사과, 살구, 시트러스, 자몽, 라임, 꽃, 미네랄","꼬치구이, 양꼬치, 건육, 닭볶음탕, 치킨, 스시, 초밥, 생선회, 사시미, 해산물, 순대, 떡볶이, 비빔밥, 오일파스타, 중국요리, 탕수육, 동남아요리, 아시아요리, 튀김, 식전주, 샐러드, 과일, 치즈, 리코타, 크림치즈",11~12 %,
