와인명,와인 영문명,URL,생산자,국가/생산지역,주요품종,음용온도,추천음식,당도,산도,바디,타닌,아로마,음식매칭,등급,기타정보,수입사,스타일,알코올,숙성,양조
"까흐나주, 자크","Karnage, Zak",https://www.wine21.com/13_search/wine_view.html?Idx=173451&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),모작 (Mauzac),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"말린과일, 꽃, 허브, 흙","샐러드, 치즈",,,,,,,
"까흐나주, 콜롱바르","Karnage, Kolombour",https://www.wine21.com/13_search/wine_view.html?Idx=173452&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),콜롱바르 (Colombard),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 청사과, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"까흐나주, 카세트 비","Karnage, Kassette B",https://www.wine21.com/13_search/wine_view.html?Idx=173453&lq=LIST,까흐나주  Karnage,프랑스(France) / 쥐라(Jura),알리칸테 부쉐 (Alicante Bouschet),10~12 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"블랙베리, 라스베리, 말린과일, 오크","소고기, 돼지고기",,,,,,,
"샤펠, 부르고뉴 알리고테 블랑","Chapel, Bourgogne Aligote Blanc",https://www.wine21.com/13_search/wine_view.html?Idx=173454&lq=LIST,샤펠  Chapel,프랑스(France) / 부르고뉴(Bourgogne),알리고테 (Aligote),10~12 ℃,"해산물, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄","해산물, 샐러드, 치즈",,,,,,,
"샤펠, 보졸레 빌라쥬 루즈","Chapel, Beaujolais Village Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173455&lq=LIST,샤펠  Chapel,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais),가메이 (Gamay),,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 후추, 오크","닭고기, 샐러드, 치즈",,,,,,,
"샤펠, 줄리에나스 파욜레뜨 루즈","Chapel, Julienas Vayolette Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173456&lq=LIST,샤펠  Chapel,,가메이 (Gamay),14~16 ℃,"담백한 닭고기, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"딸기, 라스베리, 꽃, 미네랄, 후추, 오크, 버섯","닭고기, 튀김, 치즈",,,,,,,
"샤펠, 쉬르블스 루즈","Chapel, Chiroubles Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173457&lq=LIST,샤펠  Chapel,프랑스(France) / 부르고뉴(Bourgogne),가메이 (Gamay),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 후추, 오크","닭고기, 샐러드, 치즈",,,,,,,
"샤펠, 플뢰리 샤르보니에르 루즈","Chapel, Fleurie Charbonnieres Rouge",https://www.wine21.com/13_search/wine_view.html?Idx=173458&lq=LIST,샤펠  Chapel,프랑스(France) / 부르고뉴(Bourgogne) / 보졸레(Beaujolais) / 플뢰리(Fleurie),가메이 (Gamay),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 후추, 오크","닭고기, 샐러드, 치즈",,,,,,,
"티네사, 오노스트로 비앙코","Tinessa, Ognostro Bianco",https://www.wine21.com/13_search/wine_view.html?Idx=173459&lq=LIST,티네사  Tinessa,이탈리아(Italy) / 깜빠니아(Campania),피아노 (Fiano),10~12 ℃,"견과류, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 배, 시트러스, 꽃, 미네랄, 아몬드, 흙","샐러드, 견과류, 치즈",,,,,,,
"티네사, 오노스트로 로쏘","Tinessa, Ognostro Rosso",https://www.wine21.com/13_search/wine_view.html?Idx=173460&lq=LIST,티네사  Tinessa,이탈리아(Italy) / 깜빠니아(Campania),알리아니코 (Aglianico),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,4/5,4/5,"라스베리, 블랙체리, 블랙베리, 오크","소고기, 돼지고기",Campania IGT(IGP),,,,,,
"밥티스트 쿠장, 지알지알","Baptiste Cousin, GRGR",https://www.wine21.com/13_search/wine_view.html?Idx=173461&lq=LIST,밥티스트 쿠장  Baptiste Cousin,프랑스(France) / 루아르(Loire),그롤로 그리 (Grolleau Gris),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"밥티스트 쿠장, 마리 로제","Baptiste Cousin, Marie Rose",https://www.wine21.com/13_search/wine_view.html?Idx=173462&lq=LIST,밥티스트 쿠장  Baptiste Cousin,프랑스(France),그롤로 그리 (Grolleau Gris),12~14 ℃,"담백한 닭고기, 튀김, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"체리, 딸기, 시트러스, 꽃, 미네랄, 허브","닭고기, 튀김, 치즈",,,,,,,
"밥티스트 쿠장, 웨 쿠장","Baptiste Cousin, Ouech Cousin",https://www.wine21.com/13_search/wine_view.html?Idx=173463&lq=LIST,밥티스트 쿠장  Baptiste Cousin,프랑스(France) / 루아르(Loire),그롤로 그리 (Grolleau Gris),10~12 ℃,"담백한 닭고기, 해산물, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"체리, 딸기, 시트러스, 꽃, 허브","닭고기, 해산물, 치즈",,,,,,,
"밥티스트 쿠장, 디이나미타쥬","Baptiste Cousin, Dynamitage",https://www.wine21.com/13_search/wine_view.html?Idx=173464&lq=LIST,밥티스트 쿠장  Baptiste Cousin,프랑스(France) / 루아르(Loire),그롤로 그리 (Grolleau Gris),10~12 ℃,"튀김, 샐러드, 치즈 등과 잘 어울린다.",1/5,3/5,3/5,1/5,"복숭아, 배, 시트러스, 꽃, 미네랄, 버섯","튀김, 샐러드, 치즈",,,,,,,
"프랑수아 블란카르, 알아보르다쥬","Francois Blanchard, A l'Abordage",https://www.wine21.com/13_search/wine_view.html?Idx=173465&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 청사과, 복숭아, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"프랑수아 블란카르, 보일라","Francois Blanchard, Voila",https://www.wine21.com/13_search/wine_view.html?Idx=173466&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 시트러스, 열대과일, 꽃, 미네랄, 허브","샐러드, 치즈",,,,,,,
"프랑수아 블란카르, 아 따블","Francois Blanchard, A Table",https://www.wine21.com/13_search/wine_view.html?Idx=173467&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),,10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"프랑수아 블란카르, 엉 봉본","Francois Blanchard, En Bonbonne",https://www.wine21.com/13_search/wine_view.html?Idx=173468&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),소비뇽 블랑 (Sauvignon Blanc),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"구즈베리, 복숭아, 시트러스, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"프랑수아 블란카르, 라 프레스","Francois Blanchard, La Presse",https://www.wine21.com/13_search/wine_view.html?Idx=173469&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc) / 카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"레드커런트, 블랙베리, 딸기, 꽃, 미네랄, 피망, 허브, 오크","소고기, 돼지고기, 양고기",,,,,,,
"프랑수아 블란카르, 페론토닉","Francois Blanchard, Perrontonic",https://www.wine21.com/13_search/wine_view.html?Idx=173470&lq=LIST,프랑수아 블란카르  Francois Blanchard,프랑스(France) / 루아르(Loire),카베르네 프랑 (Cabernet Franc),16~18 ℃,"소고기, 돼지고기, 양고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"레드커런트, 블랙베리, 체리, 꽃, 미네랄, 허브, 오크, 흙","소고기, 돼지고기, 양고기",,,,,,,
"쿠르츠, 니스타","Kurtz, Nista",https://www.wine21.com/13_search/wine_view.html?Idx=173471&lq=LIST,쿠르츠  Kurtz,이탈리아(Italy) / 움브리아(Umbria),트레비아노 (Trebbiano),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"청사과, 복숭아, 시트러스, 열대과일, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"쿠르츠, 밀톤","Kurtz, Milton",https://www.wine21.com/13_search/wine_view.html?Idx=173472&lq=LIST,쿠르츠  Kurtz,이탈리아(Italy) / 움브리아(Umbria),메를로 (Merlot) / 산지오베제 (Sangiovese) / 트레비아노 (Trebbiano),16~18 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"블랙베리, 체리, 딸기, 꽃, 미네랄, 흙","샐러드, 치즈",,,,,,,
"쿠르츠,세탕타세트","Kurtz, Settantasette",https://www.wine21.com/13_search/wine_view.html?Idx=173473&lq=LIST,쿠르츠  Kurtz,이탈리아(Italy) / 움브리아(Umbria),산지오베제 (Sangiovese),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"체리, 딸기, 라스베리, 꽃, 오크, 버섯","소고기, 돼지고기",,,,,,,
"쿠르츠, 아카데","Kurtz, Accade",https://www.wine21.com/13_search/wine_view.html?Idx=173474&lq=LIST,쿠르츠  Kurtz,이탈리아(Italy) / 움브리아(Umbria),산지오베제 (Sangiovese),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"블랙베리, 딸기, 라스베리, 허브, 오크, 흙","소고기, 돼지고기",,,,,,,
"코르바지알라, 로쏘 포지오 파스테네","Corvagialla, Rosso Poggio Pastene",https://www.wine21.com/13_search/wine_view.html?Idx=173475&lq=LIST,코르바지알라  Corvagialla,이탈리아(Italy) / 움브리아(Umbria),산지오베제 (Sangiovese),14~16 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,3/5,3/5,"블랙베리, 체리, 딸기, 허브, 오크, 버섯","소고기, 돼지고기",,,,,,,
"돈 파스칼, 타나 크리안자 로블","Don Pascual, Tannat Crianza Roble",https://www.wine21.com/13_search/wine_view.html?Idx=173476&lq=LIST,돈 파스칼  Don Pascual,우루과이(Urguay),,16~18 ℃,"소고기, 스테이크, 그릴요리, 바비큐, 양갈비, 갈비찜, 양념갈비, 동파육, 숙성 치즈, 파스타 등과 잘 어울린다.",1/5,4/5,3/5,4/5,"블랙체리, 블랙베리, 무화과, 자두, 말린자두, 바닐라, 시나몬, 삼나무, 오크","그릴요리, 소고기, 스테이크, 바비큐, 양갈비, 양념갈비, 갈비찜, 라자냐, 크림파스타, 치즈, 고다, 에멘탈, 에뿌아쓰, 스모크",,"* 2021 와인앤한우 페어링, 한우 등심 부문 대상* 2015 대한민국 주류대상, 신대륙 레드부문 대상* 2015 소믈리에 베스트 초이스, 실버상  수상* 2008 FOVES지 선정 best20 Latin American 와인* 2007 France, Vinalies Silver Medal* 2007 Belgium, World wine Silver Medal* 2001 Spain, Zarcillo. Silver Medal",,Uruguay Tannat,13~14 %,,
"돈 파스칼,카베르네 소비뇽 로블","Don Pascual, Cabernet Sauvignon Roble",https://www.wine21.com/13_search/wine_view.html?Idx=173477&lq=LIST,돈 파스칼  Don Pascual,우루과이(Urguay),카베르네 소비뇽 (Cabernet Sauvignon),16~18 ℃,"소고기, 스테이크, 양갈비, 바비큐, 불고기, 족발, 파스타, 햄버거, 버섯, 다양한 치즈 등과 잘 어울린다.",1/5,3/5,4/5,3/5,"블랙체리, 딸기, 블루베리, 건포도, 말린과일, 육두구, 바닐라, 삼나무, 카카오, 오크","그릴요리, 소고기, 스테이크, 양갈비, 훈제오리, 찜닭, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 치즈, 고다, 그라노파다노, 콩테",,*2023 대한민국 주류대상 '레드와인 신대륙 부문 대상',,,13~14 %,,
"칸틴 디 지오이아, 아이올라이트 네그로아마로","Cantine Di Gioia, Iolite Negroamaro",https://www.wine21.com/13_search/wine_view.html?Idx=173478&lq=LIST,칸티네 디 지오이아  Cantine Di Gioia,이탈리아(Italy) / 뿔리아(Puglia),네그로아마로 (Negroamaro),16~18 ℃,"소고기, 스테이크, 양고기, 양갈비, 스튜, 갈비찜, 양념갈비, 불고기, 숙성 치즈, 버섯, 블루치즈, 건육, 말린과일, 견과류 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"체리, 라스베리, 빌베리, 바닐라, 정향, 감초, 아니스, 시나몬","스튜, 소고기, 스테이크, 양갈비, 양고기, 건육, 불고기, 갈비찜, 버섯, 말린과일, 말린과일, 견과류, 파르미지아노, 그라노파다노",Salento IGT(IGP),* Iolite 라는 이름은 와인에서 보이는 보라빛이 은은한 청보라 또는 연보라빛이 매력적인 아이올라이트(근청석)와 닮았다고 하여 붙여진 이름임.,한산더블유앤비,,13~14 %,6개월 병숙성,7-10일 마세라시옹 후 시멘트 탱크 발효
"칸틴 디 지오이아, 로비누스 프리미티보","Cantine Di Gioia, Robinus Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=173479&lq=LIST,칸티네 디 지오이아  Cantine Di Gioia,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),16~18 ℃,"소고기, 스테이크, 양갈비, 양꼬치, 건육, 갈비찜, 양념갈비, 햄버거, 피자, 다양한 치즈, 말린과일 등과 잘 어울린다.",2/5,3/5,4/5,4/5,"딸기, 블루베리, 라스베리, 잼, 말린자두, 육두구, 바닐라, 감초, 시나몬","소고기, 스테이크, 양꼬치, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 말린과일, 말린과일, 치즈, 파르미지아노, 파르메산, 꽁떼",Puglia IGT(IGP),* 2018 빈티지 - Mondus Vini Silver* Robinus(루비) 가장 다재 다능한 보석으로 우아하고 젊고 세련된 이 와인에 이름이 됨,한산더블유앤비,,13~14 %,6개월 스틸 탱크 숙성 후 3개월 병숙성,5-7일 마세라시옹 후 시멘트 탱크 발효
"칸틴 디 지오이아, 그라나토 프리미티보","Cantine Di Gioia, Granato Primitivo",https://www.wine21.com/13_search/wine_view.html?Idx=173480&lq=LIST,칸티네 디 지오이아  Cantine Di Gioia,이탈리아(Italy) / 뿔리아(Puglia),프리미티보 (Primitivo),16~18 ℃,"소고기, 스테이크, 양갈비, 양꼬치, 건육, 갈비찜, 양념갈비, 햄버거, 피자, 다양한 치즈, 말린과일 등과 잘 어울린다.",2/5,3/5,4/5,4/5,"체리, 블루베리, 라스베리, 잼, 건포도, 말린자두, 바닐라, 정향, 감초, 시나몬, 오크","스테이크, 양꼬치, 양갈비, 건육, 불고기, 양념갈비, 갈비찜, 햄버거, 피자, 말린과일, 말린과일, 견과류, 파르미지아노, 브리, 그라노파다노, 꽁떼",Puglia IGT(IGP),"* 그라나토 프리미티보는 미네랄이 풍부한 토양에서 재배되며, Granato(석류석)는 여러 미네랄을 포함하고 있는 보석으로 이 와인의 복합성과 유사하여 이름을 따옴",한산더블유앤비,,14~15 %,8개월 스틸 탱크 숙성 후 6개월 프렌치 배럴 숙성,5-7일 마세라시옹 후 시멘트 탱크 발효
"클라우스 프라이진거, 칼크운트키셀 바이스","Claus Preisinger, Kalkundkiesel Wiess",https://www.wine21.com/13_search/wine_view.html?Idx=173481&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),그뤼너 벨트리너 (Gruner Veltliner) / 바이스부르군더 (Weissburgunder) / 뮈스카텔러  (Muskateller) / 벨쉬리슬링 (Welschriesling),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"복숭아, 배, 서양배, 레몬, 꽃, 미네랄","샐러드, 치즈",,,,,,,
"클라우스 프라이진거, 에르델루프트그라스운트레 벤 그뤼너 벨트리너","Claus Preisinger, ErDELuftGRAsundre BEN Gruner Veltliner",https://www.wine21.com/13_search/wine_view.html?Idx=173482&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),그뤼너 벨트리너 (Gruner Veltliner),10~12 ℃,"샐러드, 치즈 등으로 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 복숭아, 후추","샐러드, 치즈",,,,,,,
"클라우스 프라이진거, 에르델루프트그라스운트레 벤 바이스부르군더","Claus Preisinger, ErDELuftGRAsundre BEN Weissburgunder",https://www.wine21.com/13_search/wine_view.html?Idx=173483&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),바이스부르군더 (Weissburgunder),10~12 ℃,"샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,1/5,"배, 복숭아, 시트러스","샐러드, 치즈",,,,,,,
"클라우스 프라이진거, 츠바이겔트","Claus Preisinger, Zweigelt Kieselstein",https://www.wine21.com/13_search/wine_view.html?Idx=173484&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),츠바이겔트 (Zweigelt),16~18 ℃,"소고기, 돼지고기, 담백한 닭고기 등과 잘 어울린다.",1/5,3/5,3/5,3/5,"블랙베리, 딸기, 라스베리, 꽃, 미네랄, 오크","소고기, 돼지고기, 닭고기",,,,,,,
"클라우스 프라이진거, 칼크운트키셀 로트","Claus Preisinger, Kalkundkiesel Rot",https://www.wine21.com/13_search/wine_view.html?Idx=173485&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),블라우프랜키쉬 (Blaufrankisch) / 피노 누아 (Pinot Noir),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 오크, 흙","닭고기, 샐러드, 치즈",,,,,,,
"클라우스 프라이진거, 오디네르","Claus Preisinger, Ordinaire",https://www.wine21.com/13_search/wine_view.html?Idx=173486&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),그뤼너 벨트리너 (Gruner Veltliner) / 피노 누아 (Pinot Noir),14~16 ℃,"담백한 닭고기, 샐러드, 치즈 등과 잘 어울린다.",1/5,4/5,3/5,2/5,"체리, 딸기, 라스베리, 꽃, 미네랄, 흙","닭고기, 샐러드, 치즈",,,,,,,
"클라우스 프라이진거, 에르델루프트그라스운트레 벤 블라우프랜키쉬","Claus Preisinger, ErDELuftGRAsundre BEN Blaufränkisch",https://www.wine21.com/13_search/wine_view.html?Idx=173487&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),블라우프랜키쉬 (Blaufrankisch),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,4/5,4/5,3/5,"블랙베리, 체리, 딸기, 라스베리, 꽃, 미네랄, 허브, 흙","소고기, 돼지고기",,,,,,,
"클라우스 프라이진거, 도프","Claus Preisinger, Dope",https://www.wine21.com/13_search/wine_view.html?Idx=173488&lq=LIST,클라우스 프라이진거  Claus Preisinger,오스트리아(Austria) / 부르겐란트(Burgenland) / 쥐드부르겐란트(Sudburgenland),블라우프랜키쉬 (Blaufrankisch),16~18 ℃,"소고기, 돼지고기 등과 잘 어울린다.",1/5,3/5,3/5,2/5,"블랙베리, 딸기, 라스베리, 허브, 오크, 흙","소고기, 돼지고기",,,,,,,
